"index";"seconds";"minutes";"dateTime";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
1599;1599,26;26,6543333333;20220426 13:47:21;5;0,4;2;5;0,64;3,2
1600;1600,257;26,67095;20220426 13:47:22;5;0,47;2,35;5;0,66;3,3
1601;1601,264;26,6877333333;20220426 13:47:23;5;0,49;2,45;5;0,72;3,6
1602;1602,264;26,7044;20220426 13:47:24;5;0,47;2,35;5;0,78;3,9
1603;1603,257;26,72095;20220426 13:47:25;5;0,47;2,35;5;0,77;3,85
1604;1604,257;26,7376166667;20220426 13:47:26;5;0,46;2,3;5;0,81;4,05
1605;1605,264;26,7544;20220426 13:47:27;5;0,5;2,5;5;0,66;3,3
1606;1606,259;26,7709833333;20220426 13:47:28;5;0,49;2,45;5;0,78;3,9
1607;1607,257;26,7876166667;20220426 13:47:29;5;0,5;2,5;5;0,61;3,05
1608;1608,262;26,8043666667;20220426 13:47:30;5;0,45;2,25;5;0,75;3,75
1609;1609,264;26,8210666667;20220426 13:47:31;5;0,41;2,05;5;0,58;2,9
1610;1610,259;26,83765;20220426 13:47:32;5;0,4;2;5;0,42;2,1
1611;1611,257;26,8542833333;20220426 13:47:33;5;0,47;2,35;5;0,76;3,8
1612;1612,256;26,8709333333;20220426 13:47:34;5;0,47;2,35;5;0,76;3,8
1613;1613,258;26,8876333333;20220426 13:47:35;5;0,47;2,35;5;0,78;3,9
1614;1614,264;26,9044;20220426 13:47:36;5;0,47;2,35;5;0,78;3,9
1615;1615,261;26,9210166667;20220426 13:47:37;5;0,46;2,3;5;0,75;3,75
1616;1616,26;26,9376666667;20220426 13:47:38;5;0,45;2,25;5;0,52;2,6
1617;1617,264;26,9544;20220426 13:47:39;5;0,41;2,05;5;0,5;2,5
1618;1618,259;26,9709833333;20220426 13:47:40;5;0,47;2,35;5;0,74;3,7
1619;1619,256;26,9876;20220426 13:47:41;5;0,44;2,2;5;0,75;3,75
1620;1620,258;27,0043;20220426 13:47:42;5;0,41;2,05;5;0,46;2,3
1621;1621,263;27,02105;20220426 13:47:43;5;0,4;2;5;0,47;2,35
1622;1622,256;27,0376;20220426 13:47:44;5;0,41;2,05;5;0,75;3,75
1623;1623,26;27,0543333333;20220426 13:47:45;5;0,4;2;5;0,46;2,3
1624;1624,263;27,07105;20220426 13:47:46;5;0,41;2,05;5;0,81;4,05
1625;1625,259;27,08765;20220426 13:47:47;5;0,42;2,1;5;0,78;3,9
1626;1626,264;27,1044;20220426 13:47:48;5;0,4;2;5;0,49;2,45
1627;1627,256;27,1209333333;20220426 13:47:49;5;0,4;2;5;0,49;2,45
1628;1628,264;27,1377333333;20220426 13:47:50;5;0,4;2;5;0,41;2,05
1629;1629,259;27,1543166667;20220426 13:47:51;5;0,47;2,35;5;0,75;3,75
1630;1630,255;27,1709166667;20220426 13:47:52;5;0,41;2,05;5;0,8;4
1631;1631,259;27,18765;20220426 13:47:53;5;0,41;2,05;5;0,5;2,5
1632;1632,264;27,2044;20220426 13:47:54;5;0,41;2,05;5;0,41;2,05
1633;1633,257;27,22095;20220426 13:47:55;5;0,41;2,05;5;0,88;4,4
1634;1634,257;27,2376166667;20220426 13:47:56;5;0,41;2,05;5;0,82;4,1
1635;1635,264;27,2544;20220426 13:47:57;5;0,4;2;5;0,49;2,45
1636;1636,256;27,2709333333;20220426 13:47:58;5;0,4;2;5;0,41;2,05
1637;1637,264;27,2877333333;20220426 13:47:59;5;0,4;2;5;0,71;3,55
1638;1638,257;27,3042833333;20220426 13:48:00;5;0,46;2,3;5;0,81;4,05
1639;1639,262;27,3210333333;20220426 13:48:01;5;0,45;2,25;5;0,91;4,55
1640;1640,259;27,33765;20220426 13:48:02;5;0,41;2,05;5;0,84;4,2
1641;1641,256;27,3542666667;20220426 13:48:03;5;0,4;2;5;0,66;3,3
1642;1642,264;27,3710666667;20220426 13:48:04;5;0,4;2;5;0,65;3,25
1643;1643,264;27,3877333333;20220426 13:48:05;5;0,4;2;5;0,64;3,2
1644;1644,258;27,4043;20220426 13:48:06;5;0,41;2,05;5;0,49;2,45
1645;1645,264;27,4210666667;20220426 13:48:07;5;0,41;2,05;5;0,8;4
1646;1646,257;27,4376166667;20220426 13:48:08;5;0,41;2,05;5;0,8;4
1647;1647,263;27,4543833333;20220426 13:48:09;5;0,41;2,05;5;0,68;3,4
1648;1648,263;27,47105;20220426 13:48:10;5;0,55;2,75;5;0,85;4,25
1649;1649,263;27,4877166667;20220426 13:48:11;5;0,41;2,05;5;0,49;2,45
1650;1650,257;27,5042833333;20220426 13:48:12;5;0,4;2;5;0,41;2,05
