"index";"seconds";"minutes";"dateTime";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
0;0,255;0,00425;20220426 13:20:42;5;0,4;2;5;0,41;2,05
1;1,258;0,0209666667;20220426 13:20:43;5;0,4;2;5;0,41;2,05
2;2,256;0,0376;20220426 13:20:44;5;0,4;2;5;0,41;2,05
3;3,257;0,0542833333;20220426 13:20:45;5;0,4;2;5;0,41;2,05
4;4,256;0,0709333333;20220426 13:20:46;5;0,4;2;5;0,41;2,05
5;5,26;0,0876666667;20220426 13:20:47;5;0,4;2;5;0,41;2,05
6;6,258;0,1043;20220426 13:20:48;5;0,4;2;5;0,41;2,05
7;7,256;0,1209333333;20220426 13:20:49;5;0,4;2;5;0,41;2,05
8;8,257;0,1376166667;20220426 13:20:50;5;0,4;2;5;0,41;2,05
9;9,26;0,1543333333;20220426 13:20:51;5;0,4;2;5;0,41;2,05
10;10,256;0,1709333333;20220426 13:20:52;5;0,4;2;5;0,41;2,05
11;11,26;0,1876666667;20220426 13:20:53;5;0,4;2;5;0,41;2,05
12;12,259;0,2043166667;20220426 13:20:54;5;0,4;2;5;0,41;2,05
13;13,257;0,22095;20220426 13:20:55;5;0,4;2;5;0,41;2,05
14;14,258;0,2376333333;20220426 13:20:56;5;0,4;2;5;0,41;2,05
15;15,26;0,2543333333;20220426 13:20:57;5;0,4;2;5;0,41;2,05
16;16,26;0,271;20220426 13:20:58;5;0,4;2;5;0,41;2,05
17;17,257;0,2876166667;20220426 13:20:59;5;0,4;2;5;0,41;2,05
18;18,259;0,3043166667;20220426 13:21:00;5;0,4;2;5;0,41;2,05
19;19,258;0,3209666667;20220426 13:21:01;5;0,4;2;5;0,41;2,05
20;20,256;0,3376;20220426 13:21:02;5;0,4;2;5;0,41;2,05
21;21,255;0,35425;20220426 13:21:03;5;0,4;2;5;0,41;2,05
22;22,26;0,371;20220426 13:21:04;5;0,4;2;5;0,41;2,05
23;23,26;0,3876666667;20220426 13:21:05;5;0,4;2;5;0,41;2,05
24;24,26;0,4043333333;20220426 13:21:06;5;0,4;2;5;0,41;2,05
25;25,26;0,421;20220426 13:21:07;5;0,4;2;5;0,41;2,05
26;26,259;0,43765;20220426 13:21:08;5;0,4;2;5;0,41;2,05
27;27,255;0,45425;20220426 13:21:09;5;0,4;2;5;0,41;2,05
28;28,257;0,47095;20220426 13:21:10;5;0,4;2;5;0,41;2,05
29;29,261;0,4876833333;20220426 13:21:11;5;0,41;2,05;5;0,41;2,05
30;30,255;0,50425;20220426 13:21:12;5;0,4;2;5;0,41;2,05
31;31,256;0,5209333333;20220426 13:21:13;5;0,4;2;5;0,41;2,05
32;32,26;0,5376666667;20220426 13:21:14;5;0,4;2;5;0,41;2,05
33;33,259;0,5543166667;20220426 13:21:15;5;0,4;2;5;0,41;2,05
34;34,256;0,5709333333;20220426 13:21:16;5;0,4;2;5;0,41;2,05
35;35,255;0,5875833333;20220426 13:21:17;5;0,4;2;5;0,41;2,05
36;36,256;0,6042666667;20220426 13:21:18;5;0,4;2;5;0,41;2,05
37;37,26;0,621;20220426 13:21:19;5;0,4;2;5;0,41;2,05
38;38,26;0,6376666667;20220426 13:21:20;5;0,4;2;5;0,41;2,05
39;39,255;0,65425;20220426 13:21:21;5;0,4;2;5;0,41;2,05
40;40,257;0,67095;20220426 13:21:22;5;0,4;2;5;0,41;2,05
41;41,259;0,68765;20220426 13:21:23;5;0,4;2;5;0,41;2,05
42;42,257;0,7042833333;20220426 13:21:24;5;0,4;2;5;0,41;2,05
43;43,255;0,7209166667;20220426 13:21:25;5;0,4;2;5;0,41;2,05
44;44,258;0,7376333333;20220426 13:21:26;5;0,4;2;5;0,41;2,05
45;45,26;0,7543333333;20220426 13:21:27;5;0,4;2;5;0,41;2,05
46;46,259;0,7709833333;20220426 13:21:28;5;0,4;2;5;0,41;2,05
47;47,257;0,7876166667;20220426 13:21:29;5;0,4;2;5;0,41;2,05
48;48,26;0,8043333333;20220426 13:21:30;5;0,4;2;5;0,41;2,05
49;49,257;0,82095;20220426 13:21:31;5;0,4;2;5;0,41;2,05
50;50,255;0,8375833333;20220426 13:21:32;5;0,4;2;5;0,41;2,05
51;51,255;0,85425;20220426 13:21:33;5;0,4;2;5;0,41;2,05
52;52,255;0,8709166667;20220426 13:21:34;5;0,4;2;5;0,41;2,05
53;53,259;0,88765;20220426 13:21:35;5;0,4;2;5;0,41;2,05
54;54,256;0,9042666667;20220426 13:21:36;5;0,41;2,05;5;0,41;2,05
55;55,258;0,9209666667;20220426 13:21:37;5;0,4;2;5;0,41;2,05
56;56,257;0,9376166667;20220426 13:21:38;5;0,4;2;5;0,41;2,05
57;57,258;0,9543;20220426 13:21:39;5;0,4;2;5;0,41;2,05
58;58,259;0,9709833333;20220426 13:21:40;5;0,4;2;5;0,41;2,05
59;59,26;0,9876666667;20220426 13:21:41;5;0,4;2;5;0,41;2,05
60;60,258;1,0043;20220426 13:21:42;5;0,4;2;5;0,41;2,05
61;61,256;1,0209333333;20220426 13:21:43;5;0,4;2;5;0,41;2,05
62;62,26;1,0376666667;20220426 13:21:44;5;0,41;2,05;5;0,41;2,05
63;63,257;1,0542833333;20220426 13:21:45;5;0,4;2;5;0,41;2,05
64;64,26;1,071;20220426 13:21:46;5;0,41;2,05;5;0,41;2,05
65;65,26;1,0876666667;20220426 13:21:47;5;0,4;2;5;0,41;2,05
66;66,255;1,10425;20220426 13:21:48;5;0,4;2;5;0,41;2,05
67;67,257;1,12095;20220426 13:21:49;5;0,4;2;5;0,41;2,05
68;68,256;1,1376;20220426 13:21:50;5;0,4;2;5;0,41;2,05
69;69,26;1,1543333333;20220426 13:21:51;5;0,4;2;5;0,41;2,05
70;70,257;1,17095;20220426 13:21:52;5;0,4;2;5;0,41;2,05
71;71,26;1,1876666667;20220426 13:21:53;5;0,4;2;5;0,41;2,05
72;72,26;1,2043333333;20220426 13:21:54;5;0,4;2;5;0,41;2,05
73;73,26;1,221;20220426 13:21:55;5;0,4;2;5;0,41;2,05
74;74,256;1,2376;20220426 13:21:56;5;0,4;2;5;0,41;2,05
75;75,255;1,25425;20220426 13:21:57;5;0,4;2;5;0,41;2,05
76;76,259;1,2709833333;20220426 13:21:58;5;0,4;2;5;0,41;2,05
77;77,257;1,2876166667;20220426 13:21:59;5;0,4;2;5;0,41;2,05
78;78,255;1,30425;20220426 13:22:00;5;0,4;2;5;0,41;2,05
79;79,256;1,3209333333;20220426 13:22:01;5;0,4;2;5;0,43;2,15
80;80,258;1,3376333333;20220426 13:22:02;5;0,41;2,05;5;0,41;2,05
81;81,257;1,3542833333;20220426 13:22:03;5;0,4;2;5;0,41;2,05
82;82,261;1,3710166667;20220426 13:22:04;5;0,4;2;5;0,41;2,05
83;83,26;1,3876666667;20220426 13:22:05;5;0,4;2;5;0,4;2
84;84,255;1,40425;20220426 13:22:06;5;0,4;2;5;0,41;2,05
85;85,255;1,4209166667;20220426 13:22:07;5;0,4;2;5;0,41;2,05
86;86,26;1,4376666667;20220426 13:22:08;5;0,4;2;5;0,4;2
87;87,258;1,4543;20220426 13:22:09;5;0,4;2;5;0,41;2,05
88;88,256;1,4709333333;20220426 13:22:10;5;0,4;2;5;0,41;2,05
89;89,257;1,4876166667;20220426 13:22:11;5;0,4;2;5;0,41;2,05
90;90,26;1,5043333333;20220426 13:22:12;5;0,4;2;5;0,4;2
91;91,257;1,52095;20220426 13:22:13;5;0,4;2;5;0,41;2,05
92;92,255;1,5375833333;20220426 13:22:14;5;0,4;2;5;0,41;2,05
93;93,259;1,5543166667;20220426 13:22:15;5;0,4;2;5;0,41;2,05
94;94,258;1,5709666667;20220426 13:22:16;5;0,4;2;5;0,41;2,05
95;95,255;1,5875833333;20220426 13:22:17;5;0,4;2;5;0,41;2,05
96;96,258;1,6043;20220426 13:22:18;5;0,4;2;5;0,4;2
