"index";"seconds";"minutes";"dateTime";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
833;833,257;13,8876166667;20220426 13:34:35;5;0,4;2;5;0,45;2,25
834;834,256;13,9042666667;20220426 13:34:36;5;0,41;2,05;5;0,63;3,15
835;835,256;13,9209333333;20220426 13:34:37;5;0,49;2,45;5;0,55;2,75
836;836,26;13,9376666667;20220426 13:34:38;5;0,44;2,2;5;0,63;3,15
837;837,258;13,9543;20220426 13:34:39;5;0,47;2,35;5;0,75;3,75
838;838,261;13,9710166667;20220426 13:34:40;5;0,45;2,25;5;0,77;3,85
839;839,261;13,9876833333;20220426 13:34:41;5;0,45;2,25;5;0,81;4,05
840;840,256;14,0042666667;20220426 13:34:42;5;0,58;2,9;5;0,71;3,55
841;841,255;14,0209166667;20220426 13:34:43;5;0,5;2,5;5;0,69;3,45
842;842,261;14,0376833333;20220426 13:34:44;5;0,5;2,5;5;0,58;2,9
843;843,259;14,0543166667;20220426 13:34:45;5;0,45;2,25;5;0,71;3,55
844;844,257;14,07095;20220426 13:34:46;5;0,4;2;5;0,69;3,45
845;845,256;14,0876;20220426 13:34:47;5;0,41;2,05;5;0,43;2,15
846;846,261;14,10435;20220426 13:34:48;5;0,41;2,05;5;0,47;2,35
847;847,258;14,1209666667;20220426 13:34:49;5;0,47;2,35;5;0,77;3,85
848;848,256;14,1376;20220426 13:34:50;5;0,47;2,35;5;0,76;3,8
849;849,261;14,15435;20220426 13:34:51;5;0,47;2,35;5;0,78;3,9
850;850,257;14,17095;20220426 13:34:52;5;0,47;2,35;5;0,76;3,8
851;851,258;14,1876333333;20220426 13:34:53;5;0,46;2,3;5;0,79;3,95
852;852,255;14,20425;20220426 13:34:54;5;0,41;2,05;5;0,46;2,3
853;853,265;14,2210833333;20220426 13:34:55;5;0,47;2,35;5;0,63;3,15
854;854,258;14,2376333333;20220426 13:34:56;5;0,47;2,35;5;0,76;3,8
855;855,264;14,2544;20220426 13:34:57;5;0,45;2,25;5;0,77;3,85
856;856,257;14,27095;20220426 13:34:58;5;0,41;2,05;5;0,49;2,45
857;857,257;14,2876166667;20220426 13:34:59;5;0,4;2;5;0,41;2,05
858;858,256;14,3042666667;20220426 13:35:00;5;0,41;2,05;5;0,8;4
859;859,263;14,32105;20220426 13:35:01;5;0,45;2,25;5;0,73;3,65
860;860,257;14,3376166667;20220426 13:35:02;5;0,41;2,05;5;0,41;2,05
861;861,258;14,3543;20220426 13:35:03;5;0,41;2,05;5;0,5;2,5
862;862,256;14,3709333333;20220426 13:35:04;5;0,41;2,05;5;0,78;3,9
863;863,257;14,3876166667;20220426 13:35:05;5;0,41;2,05;5;0,49;2,45
864;864,258;14,4043;20220426 13:35:07;5;0,4;2;5;0,82;3,45
865;865,681;14,4280166667;20220426 13:35:07;5;0,47;2,35;5;0,69;3,45
866;866,256;14,4376;20220426 13:35:08;5;0,45;2,25;5;0,8;4
867;867,264;14,4544;20220426 13:35:09;5;0,4;2;5;0,49;2,45
868;868,258;14,4709666667;20220426 13:35:10;5;0,41;2,05;5;0,55;2,75
869;869,256;14,4876;20220426 13:35:11;5;0,45;2,25;5;0,79;3,95
870;870,26;14,5043333333;20220426 13:35:12;5;0,4;2;5;0,69;3,45
871;871,262;14,5210333333;20220426 13:35:13;5;0,4;2;5;0,67;3,35
872;872,255;14,5375833333;20220426 13:35:14;5;0,4;2;5;0,49;2,45
873;873,263;14,5543833333;20220426 13:35:15;5;0,41;2,05;5;0,65;3,25
874;874,255;14,5709166667;20220426 13:35:16;5;0,47;2,35;5;0,74;3,5
875;875,264;14,5877333333;20220426 13:35:17;5;0,41;2,05;5;0,7;3,5
876;876,255;14,60425;20220426 13:35:18;5;0,4;2;5;0,58;2,9
877;877,259;14,6209833333;20220426 13:35:19;5;0,47;2,35;5;0,67;3,35
878;878,256;14,6376;20220426 13:35:20;5;0,4;2;5;0,82;4,1
879;879,258;14,6543;20220426 13:35:21;5;0,41;2,05;5;0,68;3,4
880;880,26;14,671;20220426 13:35:22;5;0,41;2,05;5;0,66;3,3
881;881,258;14,6876333333;20220426 13:35:23;5;0,41;2,05;5;0,51;2,55
882;882,256;14,7042666667;20220426 13:35:24;5;0,4;2;5;0,49;2,45
883;883,265;14,7210833333;20220426 13:35:25;5;0,41;2,05;5;0,77;3,85
884;884,256;14,7376;20220426 13:35:26;5;0,4;2;5;0,81;4,05
885;885,256;14,7542666667;20220426 13:35:27;5;0,4;2;5;0,66;3,3
886;886,259;14,7709833333;20220426 13:35:28;5;0,41;2,05;5;0,75;3,75
887;887,263;14,7877166667;20220426 13:35:29;5;0,41;2,05;5;0,49;2,45
