"index";"seconds";"minutes";"dateTime";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
638;638,258;10,6376333333;20220426 13:31:20;5;0,4;2;5;0,4;2
639;639,261;10,65435;20220426 13:31:21;5;0,46;2,3;5;0,58;2,9
640;640,258;10,6709666667;20220426 13:31:22;5;0,49;2,45;5;0,48;2,4
641;641,261;10,6876833333;20220426 13:31:23;5;0,47;2,35;5;0,7;3,5
642;642,256;10,7042666667;20220426 13:31:24;5;0,47;2,35;5;0,73;3,65
643;643,26;10,721;20220426 13:31:25;5;0,46;2,3;5;0,69;3,45
644;644,258;10,7376333333;20220426 13:31:26;5;0,4;2;5;0,75;3,75
645;645,256;10,7542666667;20220426 13:31:27;5;0,49;2,45;5;0,49;2,45
646;646,262;10,7710333333;20220426 13:31:28;5;0,54;2,7;5;0,55;2,75
647;647,259;10,78765;20220426 13:31:29;5;0,49;2,45;5;0,67;3,35
648;648,255;10,80425;20220426 13:31:30;5;0,4;2;5;0,68;3,4
649;649,259;10,8209833333;20220426 13:31:31;5;0,41;2,05;5;0,45;2,25
650;650,26;10,8376666667;20220426 13:31:32;5;0,45;2,25;5;0,41;2,05
651;651,257;10,8542833333;20220426 13:31:33;5;0,47;2,35;5;0,77;3,85
652;652,256;10,8709333333;20220426 13:31:34;5;0,47;2,35;5;0,76;3,8
653;653,262;10,8877;20220426 13:31:35;5;0,47;2,35;5;0,78;3,9
654;654,258;10,9043;20220426 13:31:36;5;0,47;2,35;5;0,77;3,85
655;655,257;10,92095;20220426 13:31:37;5;0,47;2,35;5;0,78;3,9
656;656,256;10,9376;20220426 13:31:38;5;0,46;2,3;5;0,51;2,55
657;657,26;10,9543333333;20220426 13:31:39;5;0,41;2,05;5;0,49;2,45
658;658,258;10,9709666667;20220426 13:31:40;5;0,47;2,35;5;0,78;3,9
659;659,256;10,9876;20220426 13:31:41;5;0,43;2,15;5;0,71;3,55
660;660,261;11,00435;20220426 13:31:42;5;0,4;2;5;0,47;2,35
661;661,258;11,0209666667;20220426 13:31:43;5;0,4;2;5;0,41;2,05
662;662,257;11,0376166667;20220426 13:31:44;5;0,4;2;5;0,73;3,65
663;663,263;11,0543833333;20220426 13:31:45;5;0,41;2,05;5;0,64;3,2
664;664,256;11,0709333333;20220426 13:31:46;5;0,4;2;5;0,41;2,05
665;665,258;11,0876333333;20220426 13:31:47;5;0,41;2,05;5;0,41;2,05
666;666,256;11,1042666667;20220426 13:31:48;5;0,46;2,3;5;0,73;3,65
667;667,256;11,1209333333;20220426 13:31:49;5;0,41;2,05;5;0,72;3,6
668;668,258;11,1376333333;20220426 13:31:50;5;0,41;2,05;5;0,41;2,05
669;669,255;11,15425;20220426 13:31:51;5;0,41;2,05;5;0,41;2,05
670;670,263;11,17105;20220426 13:31:52;5;0,47;2,35;5;0,77;3,85
671;671,257;11,1876166667;20220426 13:31:53;5;0,4;2;5;0,81;4,05
672;672,259;11,2043166667;20220426 13:31:54;5;0,41;2,05;5;0,49;2,45
673;673,263;11,22105;20220426 13:31:55;5;0,4;2;5;0,41;2,05
674;674,256;11,2376;20220426 13:31:56;5;0,46;2,3;5;0,9;4,5
675;675,258;11,2543;20220426 13:31:57;5;0,4;2;5;0,64;3,2
676;676,255;11,2709166667;20220426 13:31:58;5;0,4;2;5;0,41;2,05
677;677,263;11,2877166667;20220426 13:31:59;5;0,41;2,05;5;0,41;2,05
678;678,256;11,3042666667;20220426 13:32:00;5;0,41;2,05;5;0,79;3,95
679;679,258;11,3209666667;20220426 13:32:01;5;0,47;2,35;5;0,71;3,55
680;680,259;11,33765;20220426 13:32:02;5;0,4;2;5;0,71;3,55
681;681,259;11,3543166667;20220426 13:32:04;5;0,4;2;5;0,51;2,55
682;682,523;11,3753833333;20220426 13:32:04;5;0,41;2,05;5;0,79;3,95
683;683,256;11,3876;20220426 13:32:05;5;0,4;2;5;0,68;3,4
684;684,263;11,4043833333;20220426 13:32:06;5;0,41;2,05;5;0,68;3,4
685;685,26;11,421;20220426 13:32:07;5;0,41;2,05;5;0,68;3,4
686;686,258;11,4376333333;20220426 13:32:08;5;0,4;2;5;0,72;3,6
687;687,261;11,45435;20220426 13:32:09;5;0,4;2;5;0,71;3,55
688;688,257;11,47095;20220426 13:32:10;5;0,41;2,05;5;0,47;2,35
689;689,257;11,4876166667;20220426 13:32:11;5;0,4;2;5;0,53;2,65
690;690,26;11,5043333333;20220426 13:32:12;5;0,41;2,05;5;0,75;3,75
691;691,258;11,5209666667;20220426 13:32:13;5;0,4;2;5;0,66;3,3
692;692,265;11,53775;20220426 13:32:14;5;0,55;2,75;5;0,66;3,3
693;693,257;11,5542833333;20220426 13:32:15;5;0,43;2,15;5;0,49;2,45
