"index";"seconds";"minutes";"dateTime";"cli_temp";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
449;449,28;7,488;20220503 12:33:33;48,5;5;0,41;2,05;5;0,43;2,15
450;450,277;7,5046166667;20220503 12:33:34;48,5;5;0,41;2,05;5;0,64;3,2
451;451,278;7,5213;20220503 12:33:35;48,75;5;0,49;2,45;5;0,64;3,2
452;452,275;7,5379166667;20220503 12:33:36;49,25;5;0,44;2,2;5;0,63;3,15
453;453,274;7,5545666667;20220503 12:33:37;49,75;5;0,47;2,35;5;0,77;3,85
454;454,274;7,5712333333;20220503 12:33:38;50;5;0,47;2,35;5;0,78;3,9
455;455,28;7,588;20220503 12:33:39;50,75;5;0,41;2,05;5;0,72;3,6
456;456,278;7,6046333333;20220503 12:33:40;51,75;5;0,41;2,05;5;0,54;2,7
457;457,276;7,6212666667;20220503 12:33:41;52,25;5;0,49;2,45;5;0,49;2,45
458;458,278;7,6379666667;20220503 12:33:42;52,5;5;0,44;2,2;5;0,92;4,6
459;459,277;7,6546166667;20220503 12:33:43;52,5;5;0,41;2,05;5;0,68;3,4
460;460,275;7,67125;20220503 12:33:44;52,75;5;0,43;2,15;5;0,48;2,4
461;461,273;7,6878833333;20220503 12:33:45;52,75;5;0,41;2,05;5;0,44;2,2
462;462,28;7,7046666667;20220503 12:33:46;52,25;5;0,45;2,25;5;0,51;2,55
463;463,278;7,7213;20220503 12:33:47;52,25;5;0,47;2,35;5;0,75;3,75
464;464,28;7,738;20220503 12:33:48;52,25;5;0,47;2,35;5;0,74;3,7
465;465,279;7,75465;20220503 12:33:49;52,75;5;0,47;2,35;5;0,77;3,85
466;466,273;7,7712166667;20220503 12:33:50;53;5;0,47;2,35;5;0,77;3,85
467;467,279;7,7879833333;20220503 12:33:51;53,5;5;0,47;2,35;5;0,77;3,85
468;468,276;7,8046;20220503 12:33:52;54;5;0,46;2,3;5;0,67;3,35
469;469,28;7,8213333333;20220503 12:33:53;54,75;5;0,49;2,45;5;0,81;4,05
470;470,278;7,8379666667;20220503 12:33:54;55;5;0,42;2,1;5;0,76;3,8
471;471,28;7,8546666667;20220503 12:33:55;54,75;5;0,41;2,05;5;0,68;3,4
472;472,279;7,8713166667;20220503 12:33:56;54,75;5;0,41;2,05;5;0,41;2,05
473;473,276;7,8879333333;20220503 12:33:57;54,75;5;0,42;2,1;5;0,77;3,85
474;474,274;7,9045666667;20220503 12:33:58;54;5;0,41;2,05;5;0,49;2,45
475;475,274;7,9212333333;20220503 12:33:59;54,25;5;0,41;2,05;5;0,49;2,45
476;476,273;7,9378833333;20220503 12:34:00;54,5;5;0,41;2,05;5;0,62;3,1
477;477,277;7,9546166667;20220503 12:34:01;54;5;0,41;2,05;5;0,64;3,2
478;478,281;7,97135;20220503 12:34:02;54;5;0,41;2,05;5;0,41;2,05
479;479,273;7,9878833333;20220503 12:34:03;54,25;5;0,41;2,05;5;0,41;2,05
480;480,276;8,0046;20220503 12:34:04;53,75;5;0,44;2,2;5;0,79;3,95
481;481,276;8,0212666667;20220503 12:34:05;54;5;0,41;2,05;5;0,79;3,95
482;482,281;8,0380166667;20220503 12:34:06;54,5;5;0,41;2,05;5;0,49;2,45
483;483,28;8,0546666667;20220503 12:34:07;54,75;5;0,41;2,05;5;0,41;2,05
484;484,276;8,0712666667;20220503 12:34:08;54,25;5;0,44;2,2;5;0,74;3,7
485;485,277;8,08795;20220503 12:34:09;54,25;5;0,41;2,05;5;0,9;4,5
486;486,278;8,1046333333;20220503 12:34:10;54,5;5;0,41;2,05;5;0,49;2,45
487;487,277;8,1212833333;20220503 12:34:11;55;5;0,41;2,05;5;0,74;3,7
488;488,276;8,1379333333;20220503 12:34:12;54,5;5;0,43;2,15;5;0,65;3,25
489;489,281;8,1546833333;20220503 12:34:13;54,25;5;0,41;2,05;5;0,73;3,65
490;490,278;8,1713;20220503 12:34:14;54,75;5;0,41;2,05;5;0,64;3,2
491;491,275;8,1879166667;20220503 12:34:15;55,25;5;0,41;2,05;5;0,69;3,45
492;492,281;8,2046833333;20220503 12:34:16;55,25;5;0,41;2,05;5;0,5;2,5
493;493,278;8,2213;20220503 12:34:17;55,25;5;0,41;2,05;5;0,41;2,05
494;494,276;8,2379333333;20220503 12:34:18;54,75;5;0,41;2,05;5;0,79;3,95
495;495,279;8,25465;20220503 12:34:19;54,25;5;0,41;2,05;5;0,66;3,3
496;496,28;8,2713333333;20220503 12:34:20;54,75;5;0,5;2,5;5;0,82;4,1
497;497,276;8,2879333333;20220503 12:34:21;55,25;5;0,49;2,45;5;0,61;3,05
498;498,276;8,3046;20220503 12:34:22;56;5;0,41;2,05;5;0,5;2,5
