,index,runNumber,areas,meanPows,maxTemps,lengths,run,index2
0,1,runA1,79.21932500000005,2.9375,52.5,28,A,0
1,2,runA2,73.16062500000001,2.7107142857142854,52.75,28,A,1
2,3,runA3,77.40062500000012,2.8464285714285706,52.75,28,A,2
3,1,runB1,77.40525,2.7448275862068967,52.75,29,B,3
4,2,runB2,75.02107500000008,2.8796296296296284,53.0,27,B,4
5,3,runB3,80.49399999999997,2.8689655172413797,53.25,29,B,5
6,4,runB4,74.21427500000007,2.735714285714285,53.5,28,B,6
7,5,runB5,77.50724999999986,2.8749999999999996,53.0,28,B,7
8,6,runB6,73.95297499999973,2.735714285714285,53.0,28,B,8
9,7,runB7,75.51925000000007,2.791071428571428,53.25,28,B,9
10,8,runB8,74.375025,2.7535714285714286,53.0,28,B,10
11,9,runB9,73.68962500000023,2.7089285714285714,53.0,28,B,11
12,10,runB10,72.76360000000027,2.794444444444445,53.0,27,B,12
13,1,runC1,79.07227500000002,2.923214285714285,52.25,28,C,13
14,2,runC2,76.86472500000005,2.844642857142857,52.75,28,C,14
15,3,runC3,77.20829999999972,2.8625,52.5,28,C,15
16,1,runD1,76.05847499999989,2.8000000000000003,53.25,28,D,16
17,2,runD2,78.10322500000002,2.8821428571428567,53.75,28,D,17
18,3,runD3,76.55849999999988,2.830357142857143,53.0,28,D,18
19,4,runD4,79.5256249999999,2.925,53.25,28,D,19
20,5,runD5,78.28959999999958,2.907142857142857,53.75,28,D,20
21,6,runD6,78.80662499999967,2.9035714285714285,53.75,28,D,21
22,7,runD7,76.80160000000004,2.8303571428571432,53.5,28,D,22
23,8,runD8,74.13509999999951,2.755357142857142,54.25,28,D,23
24,9,runD9,76.83222500000048,2.8214285714285716,53.5,28,D,24
25,10,runD10,76.52069999999993,2.8321428571428577,53.75,28,D,25
26,1,runE1,75.86480000000005,2.808928571428571,52.75,28,E,26
27,2,runE2,77.43149999999999,2.7672413793103443,53.0,29,E,27
28,3,runE3,77.69699999999995,2.8732142857142855,53.0,28,E,28
29,4,runE4,75.19305000000001,2.6655172413793107,53.0,29,E,29
30,5,runE5,74.47447500000001,2.7660714285714283,53.0,28,E,30
31,6,runE6,74.12380000000003,2.75,53.0,28,E,31
32,7,runE7,76.83097500000017,2.833928571428572,52.5,28,E,32
33,8,runE8,76.371625,2.839285714285715,52.5,28,E,33
34,9,runE9,77.0424749999999,2.734482758620689,52.5,29,E,34
