,index,runNumber,areas,meanPows,lengths,run,maxTemps,index2
0,1,runA1,174.07447499999992,3.207272727272727,55,A,,0
1,2,runA2,170.8956749999997,3.0937500000000004,56,A,,1
2,3,runA3,176.34900000000013,3.2509090909090914,55,A,,2
3,4,runA4,161.75884999999946,3.1624999999999996,52,A,,3
4,5,runA5,165.77567499999998,3.2413461538461545,52,A,,4
5,6,runA6,161.91185000000016,3.1548076923076924,52,A,,5
6,7,runA7,169.55975000000035,3.3115384615384613,52,A,,6
7,8,runA8,164.8075249999998,3.15377358490566,53,A,,7
8,9,runA9,172.65182499999915,3.237037037037036,54,A,,8
9,10,runA10,156.79762500000018,3.1870000000000003,50,A,,9
10,1,runB1,174.45165000000017,3.2833333333333323,54,B,57.5,10
11,2,runB2,173.89737499999993,3.202727272727274,55,B,58.0,11
12,3,runB3,155.3120749999998,3.292708333333335,48,B,58.5,12
13,4,runB4,169.15812499999996,3.2396226415094347,53,B,58.5,13
14,5,runB5,171.11092499999955,3.2896226415094345,53,B,58.25,14
15,1,runC1,179.24824999999976,3.1362068965517254,58,C,54.5,15
16,2,runC2,167.46222500000005,3.2663461538461545,52,C,55.0,16
17,3,runC3,173.47894999999968,3.318867924528302,53,C,54.75,17
18,4,runC4,176.62697499999953,3.1377192982456146,57,C,55.5,18
19,5,runC5,161.5030249999999,3.216666666666667,51,C,55.5,19
20,6,runC6,182.2751249999999,3.2385964912280696,57,C,55.75,20
21,1,runD1,166.9037499999999,3.2160377358490564,53,D,56.75,21
22,2,runD2,178.18654999999987,3.2818181818181817,55,D,57.0,22
23,3,runD3,162.08219999999997,3.2880000000000007,50,D,57.25,23
24,4,runD4,164.0173249999998,3.2105769230769217,52,D,56.75,24
25,5,runD5,170.16100000000037,3.253773584905662,53,D,57.25,25
26,6,runD6,164.28734999999992,3.267647058823529,51,D,57.25,26
27,7,runD7,166.9364749999997,3.194339622641508,53,D,57.25,27
28,8,runD8,169.6246500000003,3.2603773584905658,53,D,57.5,28
29,9,runD9,160.17810000000043,3.258,50,D,57.25,29
30,10,runD10,170.45114999999976,3.3403846153846155,52,D,57.75,30
31,1,runE1,157.57882500000002,3.198,50,E,56.0,31
32,2,runE2,162.10137500000008,3.230392156862745,51,E,56.75,32
33,3,runE3,179.04932500000024,3.2383928571428564,56,E,57.75,33
34,4,runE4,157.6351499999997,3.2160000000000006,50,E,57.0,34
35,5,runE5,157.16315000000014,3.352083333333333,48,E,57.5,35
36,6,runE6,175.32852500000018,3.34811320754717,53,E,57.75,36
37,7,runE7,161.44044999999926,3.2889999999999997,50,E,57.5,37
38,1,runF1,172.69459999999995,3.2500000000000004,54,F,56.0,38
39,2,runF2,162.08989999999986,3.3040000000000003,50,F,57.0,39
40,3,runF3,156.07214999999997,3.248979591836735,49,F,57.25,40
41,4,runF4,169.0675500000002,3.1836734693877555,49,F,57.25,41
