"index";"seconds";"minutes";"dateTime";"cli_temp";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
610;610,538;10,1756333333;20220506 15:01:07;49,75;5;0,41;2,05;5;0,46;2,3
611;611,946;10,1991;20220506 15:01:07;49,75;5;0,41;2,05;5;0,46;2,3
612;612,539;10,2089833333;20220506 15:01:07;49,75;5;0,41;2,05;5;0,64;3,2
613;613,543;10,2257166667;20220506 15:01:08;49,75;5;0,52;2,6;5;0,47;2,35
614;614,541;10,24235;20220506 15:01:09;50;5;0,59;2,95;5;0,67;3,35
615;615,543;10,25905;20220506 15:01:10;50,5;5;0,41;2,05;5;0,6;3
616;616,542;10,2757;20220506 15:01:11;50,75;5;0,41;2,05;5;0,49;2,45
617;617,538;10,2923;20220506 15:01:12;52;5;0,49;2,45;5;0,65;3,25
618;618,541;10,3090166667;20220506 15:01:13;52,25;5;0,46;2,3;5;0,66;3,3
619;619,538;10,3256333333;20220506 15:01:14;52,25;5;0,41;2,05;5;0,71;3,55
620;620,539;10,3423166667;20220506 15:01:15;52,75;5;0,41;2,05;5;0,41;2,05
621;621,538;10,3589666667;20220506 15:01:16;52,5;5;0,41;2,05;5;0,76;3,8
622;622,543;10,3757166667;20220506 15:01:17;52;5;0,41;2,05;5;0,45;2,25
623;623,543;10,3923833333;20220506 15:01:18;52,5;5;0,41;2,05;5;0,41;2,05
624;624,541;10,4090166667;20220506 15:01:19;52,25;5;0,45;2,25;5;0,56;2,8
625;625,539;10,42565;20220506 15:01:20;52;5;0,41;2,05;5;0,46;2,3
626;626,539;10,4423166667;20220506 15:01:21;52,5;5;0,41;2,05;5;0,77;3,85
627;627,539;10,4589833333;20220506 15:01:22;52,25;5;0,41;2,05;5;0,49;2,45
628;628,54;10,4756666667;20220506 15:01:23;52,25;5;0,41;2,05;5;0,41;2,05
629;629,54;10,4923333333;20220506 15:01:24;52;5;0,41;2,05;5;0,72;3,6
630;630,543;10,50905;20220506 15:01:25;52,25;5;0,41;2,05;5;0,49;2,45
631;631,538;10,5256333333;20220506 15:01:26;52,5;5;0,41;2,05;5;0,49;2,45
632;632,541;10,54235;20220506 15:01:27;52,25;5;0,41;2,05;5;0,74;3,7
633;633,538;10,5589666667;20220506 15:01:28;52,5;5;0,41;2,05;5;0,41;2,05
634;634,542;10,5757;20220506 15:01:29;52,75;5;0,41;2,05;5;0,41;2,05
635;635,54;10,5923333333;20220506 15:01:30;52,5;5;0,45;2,25;5;0,49;2,45
636;636,543;10,60905;20220506 15:01:31;52,5;5;0,41;2,05;5;0,41;2,05
637;637,543;10,6257166667;20220506 15:01:32;53;5;0,41;2,05;5;0,76;3,8
638;638,543;10,6423833333;20220506 15:01:33;52,75;5;0,46;2,3;5;0,6;3
