"index";"seconds";"minutes";"dateTime";"cli_temp";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
0;0,298;0,0049666667;20220503 09:30:43;47;5;0,4;2;5;0,4;2
1;1,302;0,0217;20220503 09:30:44;47;5;0,4;2;5;0,4;2
2;2,3;0,0383333333;20220503 09:30:45;47;5;0,4;2;5;0,4;2
3;3,301;0,0550166667;20220503 09:30:46;46,75;5;0,4;2;5;0,4;2
4;4,302;0,0717;20220503 09:30:47;47;5;0,4;2;5;0,63;3,15
5;5,301;0,08835;20220503 09:30:48;47;5;0,4;2;5;0,46;2,3
6;6,303;0,10505;20220503 09:30:49;47,25;5;0,4;2;5;0,4;2
7;7,302;0,1217;20220503 09:30:50;47,25;5;0,4;2;5;0,4;2
8;8,3;0,1383333333;20220503 09:30:51;47;5;0,4;2;5;0,4;2
9;9,3;0,155;20220503 09:30:52;47;5;0,4;2;5;0,4;2
10;10,3;0,1716666667;20220503 09:30:53;46,75;5;0,4;2;5;0,4;2
11;11,3;0,1883333333;20220503 09:30:54;46,75;5;0,4;2;5;0,4;2
12;12,3;0,205;20220503 09:30:55;46,75;5;0,4;2;5;0,4;2
13;13,302;0,2217;20220503 09:30:56;46,75;5;0,4;2;5;0,4;2
14;14,302;0,2383666667;20220503 09:30:57;46,75;5;0,4;2;5;0,4;2
15;15,3;0,255;20220503 09:30:58;46,5;5;0,4;2;5;0,4;2
16;16,301;0,2716833333;20220503 09:30:59;46,75;5;0,4;2;5;0,4;2
17;17,3;0,2883333333;20220503 09:31:00;46,75;5;0,4;2;5;0,4;2
18;18,302;0,3050333333;20220503 09:31:01;46,75;5;0,4;2;5;0,4;2
19;19,3;0,3216666667;20220503 09:31:02;46,75;5;0,4;2;5;0,4;2
20;20,303;0,3383833333;20220503 09:31:03;46,75;5;0,4;2;5;0,4;2
21;21,301;0,3550166667;20220503 09:31:04;46,75;5;0,4;2;5;0,4;2
22;22,301;0,3716833333;20220503 09:31:05;46,5;5;0,4;2;5;0,4;2
23;23,299;0,3883166667;20220503 09:31:06;46,75;5;0,4;2;5;0,4;2
24;24,299;0,4049833333;20220503 09:31:07;47;5;0,4;2;5;0,4;2
25;25,302;0,4217;20220503 09:31:08;46,75;5;0,4;2;5;0,4;2
26;26,3;0,4383333333;20220503 09:31:09;46,75;5;0,4;2;5;0,4;2
27;27,3;0,455;20220503 09:31:10;46,75;5;0,4;2;5;0,4;2
28;28,301;0,4716833333;20220503 09:31:11;46,75;5;0,4;2;5;0,4;2
29;29,3;0,4883333333;20220503 09:31:12;47;5;0,4;2;5;0,4;2
30;30,299;0,5049833333;20220503 09:31:13;46,75;5;0,4;2;5;0,4;2
31;31,3;0,5216666667;20220503 09:31:14;46,75;5;0,4;2;5;0,4;2
32;32,302;0,5383666667;20220503 09:31:15;46,5;5;0,4;2;5;0,4;2
33;33,301;0,5550166667;20220503 09:31:16;46,75;5;0,4;2;5;0,4;2
34;34,302;0,5717;20220503 09:31:17;46,5;5;0,4;2;5;0,4;2
35;35,3;0,5883333333;20220503 09:31:18;46,75;5;0,4;2;5;0,4;2
36;36,301;0,6050166667;20220503 09:31:19;46,5;5;0,4;2;5;0,4;2
37;37,299;0,62165;20220503 09:31:20;46,75;5;0,4;2;5;0,4;2
38;38,299;0,6383166667;20220503 09:31:21;46,5;5;0,4;2;5;0,4;2
39;39,302;0,6550333333;20220503 09:31:22;46,75;5;0,4;2;5;0,4;2
40;40,3;0,6716666667;20220503 09:31:23;46,5;5;0,4;2;5;0,4;2
41;41,301;0,68835;20220503 09:31:24;46,75;5;0,4;2;5;0,4;2
42;42,3;0,705;20220503 09:31:25;46,5;5;0,4;2;5;0,4;2
43;43,301;0,7216833333;20220503 09:31:26;46,5;5;0,4;2;5;0,4;2
44;44,302;0,7383666667;20220503 09:31:27;46,5;5;0,4;2;5;0,4;2
45;45,3;0,755;20220503 09:31:28;46,5;5;0,4;2;5;0,4;2
46;46,302;0,7717;20220503 09:31:29;46,5;5;0,4;2;5;0,4;2
47;47,302;0,7883666667;20220503 09:31:30;46,5;5;0,4;2;5;0,4;2
48;48,302;0,8050333333;20220503 09:31:31;46,75;5;0,4;2;5;0,4;2
49;49,299;0,82165;20220503 09:31:32;46,75;5;0,4;2;5;0,4;2
50;50,301;0,83835;20220503 09:31:33;46,75;5;0,4;2;5;0,4;2
51;51,299;0,8549833333;20220503 09:31:34;46,75;5;0,4;2;5;0,4;2
52;52,299;0,87165;20220503 09:31:35;46,5;5;0,4;2;5;0,4;2
53;53,3;0,8883333333;20220503 09:31:36;46,75;5;0,4;2;5;0,4;2
54;54,301;0,9050166667;20220503 09:31:37;46,5;5;0,4;2;5;0,41;2,05
55;55,3;0,9216666667;20220503 09:31:38;46,75;5;0,4;2;5;0,4;2
56;56,299;0,9383166667;20220503 09:31:39;46,5;5;0,4;2;5;0,4;2
57;57,301;0,9550166667;20220503 09:31:40;46,75;5;0,4;2;5;0,4;2
58;58,299;0,97165;20220503 09:31:41;46,5;5;0,4;2;5;0,4;2
59;59,299;0,9883166667;20220503 09:31:42;46,5;5;0,4;2;5;0,4;2
60;60,302;1,0050333333;20220503 09:31:43;46,5;5;0,4;2;5;0,4;2
61;61,3;1,0216666667;20220503 09:31:44;46,75;5;0,4;2;5;0,4;2
62;62,3;1,0383333333;20220503 09:31:45;46,5;5;0,4;2;5;0,4;2
63;63,3;1,055;20220503 09:31:46;46,5;5;0,4;2;5;0,4;2
64;64,301;1,0716833333;20220503 09:31:47;46,5;5;0,4;2;5;0,4;2
65;65,3;1,0883333333;20220503 09:31:48;46,5;5;0,4;2;5;0,4;2
66;66,302;1,1050333333;20220503 09:31:49;46,5;5;0,4;2;5;0,4;2
67;67,302;1,1217;20220503 09:31:50;46,5;5;0,4;2;5;0,4;2
68;68,302;1,1383666667;20220503 09:31:51;46,75;5;0,4;2;5;0,4;2
69;69,302;1,1550333333;20220503 09:31:52;46,75;5;0,4;2;5;0,4;2
70;70,299;1,17165;20220503 09:31:53;46,5;5;0,4;2;5;0,4;2
71;71,302;1,1883666667;20220503 09:31:54;46,75;5;0,4;2;5;0,4;2
72;72,299;1,2049833333;20220503 09:31:55;47;5;0,4;2;5;0,4;2
73;73,3;1,2216666667;20220503 09:31:56;46,75;5;0,4;2;5;0,4;2
74;74,302;1,2383666667;20220503 09:31:57;46,75;5;0,4;2;5;0,4;2
75;75,302;1,2550333333;20220503 09:31:58;46,5;5;0,4;2;5;0,4;2
76;76,298;1,2716333333;20220503 09:31:59;46,5;5;0,4;2;5;0,4;2
77;77,302;1,2883666667;20220503 09:32:00;46,75;5;0,4;2;5;0,4;2
78;78,303;1,30505;20220503 09:32:01;46,75;5;0,4;2;5;0,4;2
79;79,3;1,3216666667;20220503 09:32:02;46,75;5;0,4;2;5;0,4;2
80;80,301;1,33835;20220503 09:32:03;47;5;0,4;2;5;0,4;2
81;81,302;1,3550333333;20220503 09:32:04;46,75;5;0,4;2;5;0,4;2
82;82,302;1,3717;20220503 09:32:05;47;5;0,4;2;5;0,4;2
83;83,303;1,3883833333;20220503 09:32:06;47;5;0,4;2;5;0,45;2,25
84;84,298;1,4049666667;20220503 09:32:07;47;5;0,4;2;5;0,4;2
85;85,302;1,4217;20220503 09:32:08;47;5;0,48;2,4;5;0,4;2
86;86,299;1,4383166667;20220503 09:32:09;47;5;0,4;2;5;0,4;2
87;87,299;1,4549833333;20220503 09:32:10;47;5;0,4;2;5;0,4;2
88;88,302;1,4717;20220503 09:32:11;46,75;5;0,4;2;5;0,4;2
89;89,301;1,48835;20220503 09:32:12;46,75;5;0,4;2;5;0,4;2
90;90,301;1,5050166667;20220503 09:32:13;46,75;5;0,4;2;5;0,4;2
91;91,299;1,52165;20220503 09:32:14;46,75;5;0,4;2;5;0,4;2
92;92,301;1,53835;20220503 09:32:15;46,5;5;0,4;2;5;0,4;2
93;93,298;1,5549666667;20220503 09:32:16;46,5;5;0,4;2;5;0,4;2
94;94,299;1,57165;20220503 09:32:17;46,75;5;0,4;2;5;0,4;2
95;95,302;1,5883666667;20220503 09:32:18;46,75;5;0,4;2;5;0,4;2
96;96,3;1,605;20220503 09:32:19;46,75;5;0,4;2;5;0,4;2
97;97,3;1,6216666667;20220503 09:32:20;46,5;5;0,4;2;5;0,4;2
98;98,301;1,63835;20220503 09:32:21;46,5;5;0,4;2;5;0,4;2
99;99,301;1,6550166667;20220503 09:32:22;46,5;5;0,4;2;5;0,4;2
100;100,298;1,6716333333;20220503 09:32:23;46,5;5;0,4;2;5;0,4;2
101;101,301;1,68835;20220503 09:32:24;46,25;5;0,4;2;5;0,4;2
102;102,302;1,7050333333;20220503 09:32:25;46,5;5;0,4;2;5;0,4;2
103;103,301;1,7216833333;20220503 09:32:26;46,5;5;0,4;2;5;0,4;2
104;104,301;1,73835;20220503 09:32:27;46,5;5;0,4;2;5;0,4;2
105;105,298;1,7549666667;20220503 09:32:28;46,5;5;0,4;2;5;0,4;2
106;106,301;1,7716833333;20220503 09:32:29;46,5;5;0,4;2;5;0,4;2
107;107,299;1,7883166667;20220503 09:32:30;46,5;5;0,4;2;5;0,41;2,05
108;108,302;1,8050333333;20220503 09:32:31;46,5;5;0,4;2;5;0,4;2
109;109,302;1,8217;20220503 09:32:32;46,5;5;0,4;2;5;0,4;2
110;110,302;1,8383666667;20220503 09:32:33;46,75;5;0,4;2;5;0,4;2
111;111,301;1,8550166667;20220503 09:32:34;46,5;5;0,4;2;5;0,4;2
112;112,302;1,8717;20220503 09:32:35;46,75;5;0,4;2;5;0,45;2,25
113;113,301;1,88835;20220503 09:32:36;46,5;5;0,4;2;5;0,45;2,25
114;114,299;1,9049833333;20220503 09:32:37;46,5;5;0,4;2;5;0,4;2
115;115,302;1,9217;20220503 09:32:38;46,5;5;0,4;2;5;0,4;2
116;116,302;1,9383666667;20220503 09:32:39;46,5;5;0,4;2;5;0,4;2
117;117,3;1,955;20220503 09:32:40;46,5;5;0,4;2;5;0,4;2
118;118,3;1,9716666667;20220503 09:32:41;46,5;5;0,4;2;5;0,4;2
119;119,299;1,9883166667;20220503 09:32:42;46,5;5;0,4;2;5;0,4;2
120;120,302;2,0050333333;20220503 09:32:43;46,5;5;0,4;2;5;0,4;2
121;121,301;2,0216833333;20220503 09:32:44;46,5;5;0,4;2;5;0,4;2
122;122,302;2,0383666667;20220503 09:32:45;46,5;5;0,4;2;5;0,4;2
123;123,302;2,0550333333;20220503 09:32:46;46,5;5;0,4;2;5;0,4;2
124;124,3;2,0716666667;20220503 09:32:47;46,75;5;0,4;2;5;0,4;2
125;125,299;2,0883166667;20220503 09:32:48;46,75;5;0,4;2;5;0,4;2
126;126,302;2,1050333333;20220503 09:32:49;46,75;5;0,4;2;5;0,4;2
127;127,301;2,1216833333;20220503 09:32:50;46,75;5;0,4;2;5;0,4;2
128;128,3;2,1383333333;20220503 09:32:51;46,75;5;0,4;2;5;0,4;2
129;129,302;2,1550333333;20220503 09:32:52;46,75;5;0,4;2;5;0,4;2
130;130,302;2,1717;20220503 09:32:53;47;5;0,4;2;5;0,4;2
131;131,301;2,18835;20220503 09:32:54;46,5;5;0,4;2;5;0,4;2
132;132,298;2,2049666667;20220503 09:32:55;46,75;5;0,4;2;5;0,4;2
133;133,301;2,2216833333;20220503 09:32:56;46,75;5;0,4;2;5;0,4;2
134;134,301;2,23835;20220503 09:32:57;46,75;5;0,4;2;5;0,4;2
135;135,298;2,2549666667;20220503 09:32:58;46,75;5;0,4;2;5;0,4;2
136;136,301;2,2716833333;20220503 09:32:59;46,75;5;0,4;2;5;0,4;2
137;137,303;2,2883833333;20220503 09:33:00;46,75;5;0,4;2;5;0,4;2
138;138,302;2,3050333333;20220503 09:33:01;46,5;5;0,4;2;5;0,4;2
139;139,303;2,3217166667;20220503 09:33:02;46,5;5;0,4;2;5;0,4;2
140;140,302;2,3383666667;20220503 09:33:03;46,75;5;0,4;2;5;0,4;2
141;141,301;2,3550166667;20220503 09:33:04;46,75;5;0,4;2;5;0,4;2
142;142,304;2,3717333333;20220503 09:33:05;46,5;5;0,4;2;5;0,4;2
143;143,3;2,3883333333;20220503 09:33:06;46,75;5;0,4;2;5;0,4;2
144;144,299;2,4049833333;20220503 09:33:07;46,75;5;0,4;2;5;0,4;2
145;145,298;2,4216333333;20220503 09:33:08;46,5;5;0,4;2;5;0,4;2
146;146,298;2,4383;20220503 09:33:09;46,5;5;0,4;2;5;0,4;2
147;147,302;2,4550333333;20220503 09:33:10;46,75;5;0,4;2;5;0,4;2
148;148,301;2,4716833333;20220503 09:33:11;46,5;5;0,4;2;5;0,4;2
149;149,302;2,4883666667;20220503 09:33:12;46,5;5;0,4;2;5;0,4;2
150;150,3;2,505;20220503 09:33:13;46,5;5;0,4;2;5;0,4;2
151;151,302;2,5217;20220503 09:33:14;46,5;5;0,4;2;5;0,4;2
152;152,3;2,5383333333;20220503 09:33:15;46,5;5;0,4;2;5;0,4;2
153;153,301;2,5550166667;20220503 09:33:16;46,75;5;0,4;2;5;0,41;2,05
154;154,298;2,5716333333;20220503 09:33:17;46,5;5;0,4;2;5;0,4;2
155;155,301;2,58835;20220503 09:33:18;46,75;5;0,4;2;5;0,4;2
156;156,301;2,6050166667;20220503 09:33:19;46,5;5;0,4;2;5;0,4;2
157;157,3;2,6216666667;20220503 09:33:20;46,75;5;0,4;2;5;0,4;2
158;158,3;2,6383333333;20220503 09:33:21;46,5;5;0,4;2;5;0,4;2
159;159,3;2,655;20220503 09:33:22;46,75;5;0,4;2;5;0,4;2
160;160,298;2,6716333333;20220503 09:33:23;46,75;5;0,4;2;5;0,4;2
161;161,301;2,68835;20220503 09:33:24;46,75;5;0,4;2;5;0,4;2
162;162,301;2,7050166667;20220503 09:33:25;46,5;5;0,4;2;5;0,4;2
163;163,301;2,7216833333;20220503 09:33:26;46,5;5;0,4;2;5;0,4;2
164;164,301;2,73835;20220503 09:33:27;46,5;5;0,4;2;5;0,4;2
165;165,302;2,7550333333;20220503 09:33:28;46,75;5;0,4;2;5;0,4;2
166;166,298;2,7716333333;20220503 09:33:29;46,75;5;0,4;2;5;0,4;2
167;167,302;2,7883666667;20220503 09:33:30;47;5;0,4;2;5;0,4;2
168;168,301;2,8050166667;20220503 09:33:31;46,75;5;0,4;2;5;0,4;2
169;169,302;2,8217;20220503 09:33:32;46,75;5;0,4;2;5;0,4;2
170;170,301;2,83835;20220503 09:33:33;47;5;0,4;2;5;0,4;2
171;171,299;2,8549833333;20220503 09:33:34;47;5;0,4;2;5;0,4;2
172;172,302;2,8717;20220503 09:33:35;46,75;5;0,4;2;5;0,4;2
173;173,301;2,88835;20220503 09:33:36;46,75;5;0,4;2;5;0,4;2
