"index";"seconds";"minutes";"dateTime";"cli_temp";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
0;0,684;0,0114;20220503 17:29:21;50,25;5;0,41;2,05;5;0,41;2,05
1;1,684;0,0280666667;20220503 17:29:22;50,25;5;0,41;2,05;5;0,41;2,05
2;2,685;0,04475;20220503 17:29:23;50,25;5;0,41;2,05;5;0,41;2,05
3;3,684;0,0614;20220503 17:29:24;50,25;5;0,41;2,05;5;0,41;2,05
4;4,689;0,07815;20220503 17:29:25;50,25;5;0,41;2,05;5;0,41;2,05
5;5,687;0,0947833333;20220503 17:29:26;50,25;5;0,41;2,05;5;0,41;2,05
6;6,689;0,1114833333;20220503 17:29:27;50,25;5;0,41;2,05;5;0,45;2,25
7;7,686;0,1281;20220503 17:29:28;50,25;5;0,41;2,05;5;0,41;2,05
8;8,689;0,1448166667;20220503 17:29:29;50,5;5;0,41;2,05;5;0,41;2,05
9;9,686;0,1614333333;20220503 17:29:30;50,25;5;0,41;2,05;5;0,41;2,05
10;10,685;0,1780833333;20220503 17:29:31;50,25;5;0,41;2,05;5;0,41;2,05
11;11,688;0,1948;20220503 17:29:32;50,25;5;0,41;2,05;5;0,41;2,05
12;12,685;0,2114166667;20220503 17:29:33;50,25;5;0,41;2,05;5;0,41;2,05
13;13,689;0,22815;20220503 17:29:34;50,25;5;0,41;2,05;5;0,41;2,05
14;14,69;0,2448333333;20220503 17:29:35;50,25;5;0,41;2,05;5;0,41;2,05
15;15,688;0,2614666667;20220503 17:29:36;50,5;5;0,41;2,05;5;0,41;2,05
16;16,686;0,2781;20220503 17:29:37;50,25;5;0,41;2,05;5;0,41;2,05
17;17,686;0,2947666667;20220503 17:29:38;50,5;5;0,41;2,05;5;0,41;2,05
18;18,687;0,31145;20220503 17:29:39;50,25;5;0,43;2,15;5;0,41;2,05
19;19,685;0,3280833333;20220503 17:29:40;50,25;5;0,45;2,25;5;0,41;2,05
20;20,684;0,3447333333;20220503 17:29:41;50,25;5;0,41;2,05;5;0,41;2,05
21;21,685;0,3614166667;20220503 17:29:42;50,25;5;0,41;2,05;5;0,41;2,05
22;22,684;0,3780666667;20220503 17:29:43;50,5;5;0,41;2,05;5;0,41;2,05
23;23,687;0,3947833333;20220503 17:29:44;50,25;5;0,41;2,05;5;0,41;2,05
24;24,688;0,4114666667;20220503 17:29:45;50,25;5;0,41;2,05;5;0,41;2,05
25;25,689;0,42815;20220503 17:29:46;50,25;5;0,41;2,05;5;0,41;2,05
26;26,684;0,4447333333;20220503 17:29:47;50,25;5;0,41;2,05;5;0,41;2,05
27;27,684;0,4614;20220503 17:29:48;50,25;5;0,41;2,05;5;0,41;2,05
28;28,685;0,4780833333;20220503 17:29:49;50,25;5;0,41;2,05;5;0,41;2,05
29;29,689;0,4948166667;20220503 17:29:50;50,25;5;0,41;2,05;5;0,41;2,05
30;30,687;0,51145;20220503 17:29:51;50,25;5;0,41;2,05;5;0,41;2,05
31;31,689;0,52815;20220503 17:29:52;50,25;5;0,41;2,05;5;0,41;2,05
32;32,686;0,5447666667;20220503 17:29:53;50,25;5;0,41;2,05;5;0,41;2,05
33;33,689;0,5614833333;20220503 17:29:54;50,25;5;0,41;2,05;5;0,41;2,05
34;34,685;0,5780833333;20220503 17:29:55;50,25;5;0,41;2,05;5;0,41;2,05
35;35,684;0,5947333333;20220503 17:29:56;50,25;5;0,41;2,05;5;0,41;2,05
36;36,688;0,6114666667;20220503 17:29:57;50;5;0,41;2,05;5;0,41;2,05
37;37,688;0,6281333333;20220503 17:29:58;50;5;0,41;2,05;5;0,41;2,05
38;38,69;0,6448333333;20220503 17:29:59;50;5;0,41;2,05;5;0,41;2,05
39;39,689;0,6614833333;20220503 17:30:00;50;5;0,41;2,05;5;0,41;2,05
40;40,686;0,6781;20220503 17:30:01;50;5;0,45;2,25;5;0,41;2,05
41;41,684;0,6947333333;20220503 17:30:02;50;5;0,41;2,05;5;0,41;2,05
42;42,684;0,7114;20220503 17:30:03;50;5;0,41;2,05;5;0,41;2,05
43;43,684;0,7280666667;20220503 17:30:04;50;5;0,41;2,05;5;0,41;2,05
44;44,688;0,7448;20220503 17:30:05;50;5;0,41;2,05;5;0,41;2,05
45;45,687;0,76145;20220503 17:30:06;50,25;5;0,41;2,05;5;0,41;2,05
46;46,686;0,7781;20220503 17:30:07;50;5;0,41;2,05;5;0,41;2,05
47;47,684;0,7947333333;20220503 17:30:08;50;5;0,41;2,05;5;0,41;2,05
48;48,688;0,8114666667;20220503 17:30:09;50;5;0,41;2,05;5;0,41;2,05
49;49,684;0,8280666667;20220503 17:30:10;50;5;0,41;2,05;5;0,41;2,05
50;50,684;0,8447333333;20220503 17:30:11;50,25;5;0,41;2,05;5;0,41;2,05
51;51,688;0,8614666667;20220503 17:30:12;50;5;0,41;2,05;5;0,41;2,05
52;52,687;0,8781166667;20220503 17:30:13;50,25;5;0,41;2,05;5;0,41;2,05
53;53,686;0,8947666667;20220503 17:30:14;50;5;0,41;2,05;5;0,41;2,05
54;54,688;0,9114666667;20220503 17:30:15;50;5;0,41;2,05;5;0,41;2,05
