"index";"seconds";"minutes";"dateTime";"cli_temp";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
640;640,234;10,6705666667;20220429 17:47:55;50,75;5;0,41;2,05;5;0,41;2,05
641;641,232;10,6872;20220429 17:47:56;51;5;0,41;2,05;5;0,62;3,1
642;642,236;10,7039333333;20220429 17:47:57;51,5;5;0,62;3,1;5;0,75;3,75
643;643,238;10,7206333333;20220429 17:47:58;51,75;5;0,49;2,45;5;0,77;3,85
644;644,232;10,7372;20220429 17:47:59;52,25;5;0,47;2,35;5;0,77;3,85
645;645,235;10,7539166667;20220429 17:48:00;52,75;5;0,47;2,35;5;0,77;3,85
646;646,234;10,7705666667;20220429 17:48:01;53,75;5;0,43;2,15;5;0,92;4,6
647;647,234;10,7872333333;20220429 17:48:02;54,5;5;0,49;2,45;5;0,63;3,15
648;648,234;10,8039;20220429 17:48:03;54,75;5;0,43;2,15;5;0,68;3,4
649;649,233;10,82055;20220429 17:48:04;54,5;5;0,51;2,55;5;0,7;3,5
650;650,235;10,83725;20220429 17:48:05;54,5;5;0,41;2,05;5;0,64;3,2
651;651,232;10,8538666667;20220429 17:48:06;55;5;0,41;2,05;5;0,44;2,2
652;652,233;10,87055;20220429 17:48:07;55;5;0,41;2,05;5;0,42;2,1
653;653,231;10,8871833333;20220429 17:48:08;54,25;5;0,48;2,4;5;0,77;3,85
654;654,235;10,9039166667;20220429 17:48:09;54,25;5;0,47;2,35;5;0,76;3,8
655;655,232;10,9205333333;20220429 17:48:10;55;5;0,47;2,35;5;0,74;3,7
656;656,23;10,9371666667;20220429 17:48:11;55,5;5;0,47;2,35;5;0,76;3,8
657;657,238;10,9539666667;20220429 17:48:12;55,75;5;0,47;2,35;5;0,66;3,3
658;658,235;10,9705833333;20220429 17:48:13;56,25;5;0,46;2,3;5;0,56;2,8
659;659,24;10,9873333333;20220429 17:48:14;56,75;5;0,45;2,25;5;0,5;2,5
660;660,237;11,00395;20220429 17:48:15;56;5;0,48;2,4;5;0,76;3,8
661;661,235;11,0205833333;20220429 17:48:16;55,5;5;0,47;2,35;5;0,68;3,4
662;662,231;11,0371833333;20220429 17:48:17;55,75;5;0,41;2,05;5;0,64;3,2
663;663,235;11,0539166667;20220429 17:48:18;56,25;5;0,41;2,05;5;0,41;2,05
664;664,23;11,0705;20220429 17:48:19;55,75;5;0,41;2,05;5;0,75;3,75
665;665,232;11,0872;20220429 17:48:20;55,75;5;0,41;2,05;5;0,69;3,45
666;666,239;11,1039833333;20220429 17:48:21;55,75;5;0,41;2,05;5;0,41;2,05
667;667,236;11,1206;20220429 17:48:22;55,5;5;0,41;2,05;5;0,41;2,05
668;668,239;11,1373166667;20220429 17:48:23;55,25;5;0,46;2,3;5;0,75;3,75
669;669,232;11,1538666667;20220429 17:48:24;55,5;5;0,41;2,05;5;0,49;2,45
670;670,23;11,1705;20220429 17:48:25;55,5;5;0,41;2,05;5;0,68;3,4
671;671,238;11,1873;20220429 17:48:26;55,25;5;0,47;2,35;5;0,77;3,85
672;672,236;11,2039333333;20220429 17:48:27;55,5;5;0,41;2,05;5;0,8;4
673;673,237;11,2206166667;20220429 17:48:28;56;5;0,41;2,05;5;0,5;2,5
674;674,233;11,2372166667;20220429 17:48:29;56,5;5;0,41;2,05;5;0,41;2,05
675;675,234;11,2539;20220429 17:48:30;56;5;0,42;2,1;5;0,8;4
676;676,235;11,2705833333;20220429 17:48:31;56;5;0,46;2,3;5;0,73;3,65
677;677,239;11,2873166667;20220429 17:48:32;56,75;5;0,41;2,05;5;0,72;3,6
678;678,233;11,3038833333;20220429 17:48:33;57,25;5;0,41;2,05;5;0,55;2,75
679;679,234;11,3205666667;20220429 17:48:34;57;5;0,41;2,05;5;0,74;3,7
680;680,23;11,3371666667;20220429 17:48:35;56,75;5;0,41;2,05;5;0,56;2,8
681;681,234;11,3539;20220429 17:48:36;56,75;5;0,41;2,05;5;0,41;2,05
682;682,231;11,3705166667;20220429 17:48:37;56,25;5;0,41;2,05;5;0,79;3,95
683;683,233;11,3872166667;20220429 17:48:38;56;5;0,41;2,05;5;0,78;3,9
684;684,235;11,4039166667;20220429 17:48:39;56,5;5;0,41;2,05;5;0,65;3,25
685;685,234;11,4205666667;20220429 17:48:40;57,5;5;0,41;2,05;5;0,68;3,4
686;686,239;11,4373166667;20220429 17:48:41;58;5;0,41;2,05;5;0,68;3,4
687;687,237;11,45395;20220429 17:48:42;57,75;5;0,41;2,05;5;0,67;3,35
688;688,234;11,4705666667;20220429 17:48:43;57,75;5;0,42;2,1;5;0,46;2,3
689;689,235;11,48725;20220429 17:48:44;57,5;5;0,41;2,05;5;0,41;2,05
690;690,23;11,5038333333;20220429 17:48:45;57,25;5;0,41;2,05;5;0,53;2,65
691;691,231;11,5205166667;20220429 17:48:46;56,75;5;0,41;2,05;5;0,78;3,9
692;692,231;11,5371833333;20220429 17:48:47;57;5;0,41;2,05;5;0,66;3,3
693;693,239;11,5539833333;20220429 17:48:48;57,5;5;0,49;2,45;5;0,71;3,55
694;694,236;11,5706;20220429 17:48:49;58;5;0,41;2,05;5;0,5;2,5
