"index";"seconds";"minutes";"dateTime";"cli_temp";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
0;0,164;0,0027333333;20220506 09:32:16;47;5;0,4;2;5;0,4;2
1;1,166;0,0194333333;20220506 09:32:17;47,25;5;0,4;2;5;0,4;2
2;2,168;0,0361333333;20220506 09:32:18;47;5;0,4;2;5;0,4;2
3;3,165;0,05275;20220506 09:32:19;47;5;0,4;2;5;0,48;2,4
4;4,167;0,06945;20220506 09:32:20;47;5;0,4;2;5;0,4;2
5;5,164;0,0860666667;20220506 09:32:21;47;5;0,4;2;5;0,4;2
6;6,165;0,10275;20220506 09:32:22;47,25;5;0,4;2;5;0,4;2
7;7,168;0,1194666667;20220506 09:32:23;47,25;5;0,4;2;5;0,4;2
8;8,168;0,1361333333;20220506 09:32:24;47;5;0,4;2;5;0,4;2
9;9,169;0,1528166667;20220506 09:32:25;47;5;0,4;2;5;0,4;2
10;10,169;0,1694833333;20220506 09:32:26;47;5;0,4;2;5;0,4;2
11;11,166;0,1861;20220506 09:32:27;47;5;0,4;2;5;0,4;2
12;12,164;0,2027333333;20220506 09:32:28;47,25;5;0,4;2;5;0,4;2
13;13,168;0,2194666667;20220506 09:32:29;47,25;5;0,4;2;5;0,4;2
14;14,169;0,23615;20220506 09:32:30;47,25;5;0,4;2;5;0,4;2
15;15,166;0,2527666667;20220506 09:32:31;47,25;5;0,4;2;5;0,4;2
16;16,169;0,2694833333;20220506 09:32:32;47;5;0,4;2;5;0,4;2
17;17,168;0,2861333333;20220506 09:32:33;47,25;5;0,4;2;5;0,4;2
18;18,167;0,3027833333;20220506 09:32:34;47;5;0,4;2;5;0,4;2
19;19,164;0,3194;20220506 09:32:35;47;5;0,4;2;5;0,4;2
20;20,165;0,3360833333;20220506 09:32:36;47;5;0,4;2;5;0,4;2
21;21,168;0,3528;20220506 09:32:37;47;5;0,4;2;5;0,4;2
