,index,runNumber,areas,meanPows,lengths,run,index2
0,1,runA1,58.627025000000025,2.1732142857142853,28,A,0
1,2,runA2,57.457424999999965,2.125,28,A,1
2,3,runA3,58.83335000000011,2.1803571428571424,28,A,2
3,1,runB1,61.504625000000004,2.1948275862068956,29,B,3
4,2,runB2,56.541325000000064,2.177777777777777,27,B,4
5,3,runB3,60.593325,2.160344827586206,29,B,5
6,4,runB4,57.75052500000001,2.1392857142857133,28,B,6
7,5,runB5,59.353199999999866,2.1928571428571417,28,B,7
8,6,runB6,59.652424999999745,2.210714285714285,28,B,8
9,7,runB7,59.21587500000001,2.187499999999999,28,B,9
10,8,runB8,58.52587499999998,2.162499999999999,28,B,10
11,9,runB9,57.84412500000014,2.141071428571428,28,B,11
12,10,runB10,56.26775000000017,2.1703703703703696,27,B,12
13,1,runC1,58.89730000000004,2.1803571428571424,28,C,13
14,2,runC2,58.564074999999995,2.1642857142857133,28,C,14
15,3,runC3,58.90717499999983,2.1767857142857134,28,C,15
16,1,runD1,59.21309999999989,2.187499999999999,28,D,16
17,2,runD2,58.70262499999992,2.1696428571428563,28,D,17
18,3,runD3,58.57767499999996,2.1785714285714275,28,D,18
19,4,runD4,57.999475000000025,2.144642857142856,28,D,19
20,5,runD5,57.74162499999971,2.135714285714285,28,D,20
21,6,runD6,59.18382499999987,2.198214285714285,28,D,21
22,7,runD7,58.10212500000002,2.1482142857142845,28,D,22
23,8,runD8,58.34542499999952,2.157142857142856,28,D,23
24,9,runD9,59.30857500000023,2.1946428571428567,28,D,24
25,10,runD10,58.10020000000004,2.155357142857142,28,D,25
26,1,runE1,58.75487500000002,2.1785714285714275,28,E,26
27,2,runE2,60.0353,2.1448275862068953,29,E,27
28,3,runE3,58.512025,2.162499999999999,28,E,28
29,4,runE4,60.488374999999905,2.1586206896551716,29,E,29
30,5,runE5,57.552824999999935,2.1285714285714272,28,E,30
31,6,runE6,58.198375000000034,2.151785714285713,28,E,31
32,7,runE7,60.34977500000002,2.2339285714285704,28,E,32
33,8,runE8,58.613275000000044,2.173214285714285,28,E,33
34,9,runE9,60.650874999999985,2.16206896551724,29,E,34
