,index,runNumber,areas,meanPows,lengths,run,index2
0,1,runA1,117.58689999999997,2.1745454545454543,55,A,0
1,2,runA2,119.02119999999978,2.162499999999999,56,A,1
2,3,runA3,116.98477500000017,2.1645454545454537,55,A,2
3,4,runA4,110.20719999999972,2.1576923076923067,52,A,3
4,5,runA5,111.34480000000012,2.1798076923076914,52,A,4
5,6,runA6,110.61680000000013,2.166346153846153,52,A,5
6,7,runA7,110.54365000000016,2.164423076923076,52,A,6
7,8,runA8,111.90652499999986,2.1509433962264146,53,A,7
8,9,runA9,116.0831999999998,2.1870370370370362,54,A,8
9,10,runA10,107.64227499999986,2.192999999999999,50,A,9
10,1,runB1,114.98182500000007,2.1675925925925914,54,B,10
11,2,runB2,117.80854999999994,2.1790909090909074,55,B,11
12,3,runB3,103.83364999999993,2.2062499999999985,48,B,12
13,4,runB4,113.80777499999986,2.185849056603772,53,B,13
14,5,runB5,113.21069999999972,2.1773584905660366,53,B,14
15,1,runC1,126.42269999999992,2.2181034482758624,58,C,15
16,2,runC2,109.87607500000007,2.157692307692307,52,C,16
17,3,runC3,111.92439999999975,2.1499999999999995,53,C,17
18,4,runC4,124.22774999999979,2.214912280701754,57,C,18
19,5,runC5,108.1226,2.1617647058823524,51,C,19
20,6,runC6,120.42587500000008,2.1482456140350874,57,C,20
21,1,runD1,114.19947499999992,2.197169811320753,53,D,21
22,2,runD2,118.811475,2.197272727272726,55,D,22
23,3,runD3,106.54934999999996,2.171999999999999,50,D,23
24,4,runD4,110.14262499999994,2.1576923076923062,52,D,24
25,5,runD5,113.04972500000007,2.1716981132075457,53,D,25
26,6,runD6,108.9096750000002,2.1754901960784303,51,D,26
27,7,runD7,114.39499999999992,2.1999999999999984,53,D,27
28,8,runD8,115.297875,2.2141509433962248,53,D,28
29,9,runD9,107.50817500000039,2.1909999999999985,50,D,29
30,10,runD10,111.1484499999993,2.1769230769230754,52,D,30
31,1,runE1,105.94090000000008,2.1599999999999993,50,E,31
32,2,runE2,109.6456500000001,2.1921568627450965,51,E,32
33,3,runE3,119.54592500000004,2.17142857142857,56,E,33
34,4,runE4,106.44299999999961,2.1699999999999986,50,E,34
35,5,runE5,103.19980000000012,2.1958333333333315,48,E,35
36,6,runE6,114.54162499999954,2.199999999999999,53,E,36
37,7,runE7,106.52692500000002,2.1769999999999987,50,E,37
38,1,runF1,116.14079999999996,2.1888888888888878,54,F,38
39,2,runF2,108.00149999999992,2.2049999999999987,50,F,39
40,3,runF3,106.05947499999995,2.20612244897959,49,F,40
41,4,runF4,114.13737500000022,2.158163265306121,49,F,41
