"index";"seconds";"minutes";"dateTime";"cli_temp";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
610;610,573;10,1762166667;20220506 14:15:34;50;5;0,41;2,05;5;0,55;2,75
611;611,571;10,19285;20220506 14:15:35;50,25;5;0,41;2,05;5;0,51;2,55
612;612,572;10,2095333333;20220506 14:15:36;50,75;5;0,56;2,8;5;0,7;3,5
613;613,574;10,2262333333;20220506 14:15:37;51,25;5;0,57;2,85;5;0,67;3,35
614;614,571;10,24285;20220506 14:15:38;51,75;5;0,41;2,05;5;0,81;4,05
615;615,57;10,2595;20220506 14:15:39;52,25;5;0,49;2,45;5;0,56;2,8
616;616,573;10,2762166667;20220506 14:15:40;52,75;5;0,49;2,45;5;0,74;3,7
617;617,573;10,2928833333;20220506 14:15:41;52,75;5;0,49;2,45;5;0,69;3,45
618;618,571;10,3095166667;20220506 14:15:42;53,25;5;0,41;2,05;5;0,49;2,45
619;619,57;10,3261666667;20220506 14:15:44;53,75;5;0,41;2,05;5;0,43;2,15
620;620,904;10,3484;20220506 14:15:44;53;5;0,41;2,05;5;0,49;2,45
621;621,572;10,3595333333;20220506 14:15:45;53;5;0,41;2,05;5;0,49;2,45
622;622,572;10,3762;20220506 14:15:46;53,25;5;0,41;2,05;5;0,46;2,3
623;623,572;10,3928666667;20220506 14:15:47;52,75;5;0,41;2,05;5;0,49;2,45
624;624,573;10,40955;20220506 14:15:48;53,25;5;0,41;2,05;5;0,41;2,05
625;625,574;10,4262333333;20220506 14:15:49;53;5;0,49;2,45;5;0,66;3,3
626;626,57;10,4428333333;20220506 14:15:50;52,5;5;0,41;2,05;5;0,49;2,45
627;627,569;10,4594833333;20220506 14:15:51;53;5;0,41;2,05;5;0,41;2,85
628;628,571;10,4761833333;20220506 14:15:52;53,25;5;0,41;2,05;5;0,77;3,85
629;629,572;10,4928666667;20220506 14:15:53;52,75;5;0,41;2,05;5;0,5;2,5
630;630,569;10,5094833333;20220506 14:15:54;53;5;0,41;2,05;5;0,7;3,5
631;631,57;10,5261666667;20220506 14:15:55;53;5;0,41;2,05;5;0,76;3,8
632;632,569;10,5428166667;20220506 14:15:56;53;5;0,4;2;5;0,41;2,05
633;633,571;10,5595166667;20220506 14:15:57;52,75;5;0,41;2,05;5;0,77;3,85
634;634,574;10,5762333333;20220506 14:15:58;53;5;0,41;2,05;5;0,45;2,25
635;635,575;10,5929166667;20220506 14:15:59;53,25;5;0,41;2,05;5;0,41;2,05
636;636,574;10,6095666667;20220506 14:16:00;52,75;5;0,46;2,3;5;0,69;3,45
637;637,574;10,6262333333;20220506 14:16:01;52,75;5;0,41;2,05;5;0,47;2,35
