"index";"seconds";"minutes";"dateTime";"cli_temp";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
143;143,47;2,3911666667;20220506 13:06:58;49,25;5;0,41;2,05;5;0,45;2,25
144;144,473;2,4078833333;20220506 13:06:59;49;5;0,41;2,05;5;0,48;2,4
145;145,471;2,4245166667;20220506 13:07:00;49,25;5;0,43;2,15;5;0,49;2,45
146;146,474;2,4412333333;20220506 13:07:01;49,75;5;0,51;2,55;5;0,63;3,15
147;147,475;2,4579166667;20220506 13:07:02;50;5;0,44;2,2;5;0,66;3,3
148;148,47;2,4745;20220506 13:07:03;50,5;5;0,41;2,05;5;0,62;3,1
149;149,471;2,4911833333;20220506 13:07:04;51;5;0,49;2,45;5;0,64;3,2
150;150,472;2,5078666667;20220506 13:07:05;51,75;5;0,59;2,95;5;0,61;3,05
151;151,475;2,5245833333;20220506 13:07:06;52;5;0,49;2,45;5;0,7;3,5
152;152,474;2,5412333333;20220506 13:07:07;52,25;5;0,41;2,05;5;0,49;2,45
153;153,474;2,5579;20220506 13:07:08;52,25;5;0,41;2,05;5;0,51;2,55
154;154,473;2,57455;20220506 13:07:09;51,75;5;0,41;2,05;5;0,76;3,8
155;155,47;2,5911666667;20220506 13:07:10;52,25;5;0,44;2,2;5;0,41;2,05
156;156,473;2,6078833333;20220506 13:07:11;52;5;0,41;2,05;5;0,72;3,6
157;157,471;2,6245166667;20220506 13:07:12;51,75;5;0,49;2,45;5;0,43;2,15
158;158,469;2,64115;20220506 13:07:13;52,25;5;0,41;2,05;5;0,41;2,05
159;159,472;2,6578666667;20220506 13:07:14;51,75;5;0,41;2,05;5;0,49;2,45
160;160,472;2,6745333333;20220506 13:07:15;51,75;5;0,4;2;5;0,41;2,05
161;161,47;2,6911666667;20220506 13:07:16;52,25;5;0,41;2,05;5;0,77;3,85
162;162,474;2,7079;20220506 13:07:17;52;5;0,41;2,05;5;0,49;2,45
163;163,473;2,72455;20220506 13:07:18;52;5;0,41;2,05;5;0,49;2,45
164;164,471;2,7411833333;20220506 13:07:19;52;5;0,41;2,05;5;0,81;4,05
165;165,474;2,7579;20220506 13:07:20;52,25;5;0,41;2,05;5;0,41;2,05
166;166,474;2,7745666667;20220506 13:07:21;52,5;5;0,41;2,05;5;0,41;2,05
167;167,474;2,7912333333;20220506 13:07:22;52,5;5;0,41;2,05;5;0,79;3,95
168;168,474;2,8079;20220506 13:07:23;52,5;5;0,43;2,15;5;0,41;2,05
169;169,47;2,8245;20220506 13:07:24;52,75;5;0,41;2,05;5;0,41;2,05
170;170,474;2,8412333333;20220506 13:07:25;52,5;5;0,6;3;5;0,59;2,95
171;171,471;2,85785;20220506 13:07:26;52,25;5;0,45;2,25;5;0,43;2,15
