"index";"seconds";"minutes";"dateTime";"cli_temp";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
478;478,473;7,97455;20220506 13:12:33;49,75;5;0,41;2,05;5;0,64;3,2
479;479,471;7,9911833333;20220506 13:12:34;50;5;0,58;2,9;5;0,5;2,5
480;480,474;8,0079;20220506 13:12:35;50,25;5;0,49;2,45;5;0,48;2,4
481;481,47;8,0245;20220506 13:12:36;50,5;5;0,49;2,45;5;0,67;3,35
482;482,47;8,0411666667;20220506 13:12:37;51;5;0,43;2,15;5;0,69;3,45
483;483,474;8,0579;20220506 13:12:38;51,75;5;0,46;2,3;5;0,66;3,3
484;484,474;8,0745666667;20220506 13:12:39;52,25;5;0,49;2,45;5;0,68;3,4
485;485,472;8,0912;20220506 13:12:40;52,25;5;0,47;2,35;5;0,75;3,75
486;486,471;8,10785;20220506 13:12:41;52,5;5;0,41;2,05;5;0,41;2,05
487;487,47;8,1245;20220506 13:12:42;53;5;0,41;2,05;5;0,41;2,05
488;488,474;8,1412333333;20220506 13:12:43;52,75;5;0,41;2,05;5;0,78;3,9
489;489,469;8,1578166667;20220506 13:12:44;52,25;5;0,41;2,05;5;0,47;2,35
490;490,469;8,1744833333;20220506 13:12:45;52,75;5;0,41;2,05;5;0,77;3,85
491;491,469;8,19115;20220506 13:12:46;52,5;5;0,41;2,05;5;0,49;2,45
492;492,472;8,2078666667;20220506 13:12:47;52,75;5;0,41;2,05;5;0,41;2,05
493;493,471;8,2245166667;20220506 13:12:48;52,5;5;0,41;2,05;5;0,82;4,1
494;494,474;8,2412333333;20220506 13:12:49;52,25;5;0,41;2,05;5;0,49;2,45
495;495,474;8,2579;20220506 13:12:50;52,5;5;0,41;2,05;5;0,43;2,15
496;496,474;8,2745666667;20220506 13:12:51;52,5;5;0,4;2;5;0,67;3,35
497;497,47;8,2911666667;20220506 13:12:52;52,5;5;0,41;2,05;5;0,41;2,05
498;498,474;8,3079;20220506 13:12:53;53;5;0,45;2,25;5;0,69;3,45
499;499,471;8,3245166667;20220506 13:12:54;52,75;5;0,41;2,05;5;0,47;2,35
500;500,471;8,3411833333;20220506 13:12:55;52,75;5;0,41;2,05;5;0,41;2,05
501;501,469;8,3578166667;20220506 13:12:56;52,75;5;0,41;2,05;5;0,7;3,5
502;502,469;8,3744833333;20220506 13:12:57;53;5;0,41;2,05;5;0,48;2,4
503;503,47;8,3911666667;20220506 13:12:58;53;5;0,41;2,05;5;0,77;3,85
504;504,474;8,4079;20220506 13:12:59;53;5;0,48;2,4;5;0,64;3,2
505;505,47;8,4245;20220506 13:13:00;53,25;5;0,41;2,05;5;0,41;2,05
506;506,47;8,4411666667;20220506 13:13:01;53,25;5;0,41;2,05;5;0,44;2,2
