"index";"seconds";"minutes";"dateTime";"cli_temp";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
2224;2224,163;37,0693833333;20220429 17:09:13;53,75;5;0,41;2,05;5;0,49;2,45
2225;2225,167;37,0861166667;20220429 17:09:14;54;5;0,51;2,55;5;0,41;2,05
2226;2226,162;37,1027;20220429 17:09:15;54,5;5;0,49;2,45;5;0,68;3,4
2227;2227,162;37,1193666667;20220429 17:09:16;55;5;0,46;2,3;5;0,74;3,7
2228;2228,169;37,13615;20220429 17:09:17;55,5;5;0,63;3,15;5;0,51;2,55
2229;2229,17;37,1528333333;20220429 17:09:18;55,5;5;0,54;2,7;5;0,66;3,3
2230;2230,169;37,1694833333;20220429 17:09:19;55,75;5;0,64;3,2;5;0,71;3,55
2231;2231,165;37,1860833333;20220429 17:09:20;55,75;5;0,47;2,35;5;0,7;3,5
2232;2232,164;37,2027333333;20220429 17:09:21;55,75;5;0,47;2,35;5;0,76;3,8
2233;2233,161;37,21935;20220429 17:09:22;56,5;5;0,41;2,05;5;0,85;4,25
2234;2234,16;37,236;20220429 17:09:23;57;5;0,41;2,05;5;0,5;2,5
2235;2235,17;37,2528333333;20220429 17:09:24;57,5;5;0,49;2,45;5;0,41;2,05
2236;2236,165;37,2694166667;20220429 17:09:25;57,5;5;0,41;2,05;5;0,64;3,2
2237;2237,169;37,28615;20220429 17:09:26;57,25;5;0,64;3,2;5;0,5;2,5
2238;2238,165;37,30275;20220429 17:09:27;57;5;0,49;2,45;5;0,54;2,7
2239;2239,164;37,3194;20220429 17:09:28;57;5;0,64;3,2;5;0,46;2,3
2240;2240,168;37,3361333333;20220429 17:09:29;56,75;5;0,46;2,3;5;0,66;3,3
2241;2241,162;37,3527;20220429 17:09:30;57;5;0,64;3,2;5;0,66;3,3
2242;2242,169;37,3694833333;20220429 17:09:31;56,75;5;0,46;2,3;5;0,7;3,5
2243;2243,163;37,38605;20220429 17:09:32;57;5;0,41;2,05;5;0,73;3,65
2244;2244,166;37,4027666667;20220429 17:09:33;57,75;5;0,45;2,25;5;0,69;3,45
2245;2245,165;37,4194166667;20220429 17:09:34;58,25;5;0,41;2,05;5;0,72;3,6
2246;2246,161;37,4360166667;20220429 17:09:35;58,5;5;0,49;2,45;5;0,75;3,75
2247;2247,161;37,4526833333;20220429 17:09:36;59;5;0,46;2,3;5;0,75;3,75
2248;2248,163;37,4693833333;20220429 17:09:37;59;5;0,41;2,05;5;0,75;3,75
2249;2249,168;37,4861333333;20220429 17:09:38;59,5;5;0,43;2,15;5;0,74;3,7
2250;2250,162;37,5027;20220429 17:09:39;59,5;5;0,41;2,05;5;0,75;3,75
2251;2251,165;37,5194166667;20220429 17:09:40;59,75;5;0,42;2,1;5;0,74;3,7
2252;2252,164;37,5360666667;20220429 17:09:41;60,25;5;0,41;2,05;5;0,75;3,75
2253;2253,162;37,5527;20220429 17:09:42;60,5;5;0,41;2,05;5;0,73;3,65
2254;2254,161;37,56935;20220429 17:09:43;60,25;5;0,41;2,05;5;0,64;3,2
2255;2255,164;37,5860666667;20220429 17:09:44;60,25;5;0,41;2,05;5;0,79;3,95
2256;2256,161;37,6026833333;20220429 17:09:45;60,75;5;0,41;2,05;5;0,71;3,55
2257;2257,162;37,6193666667;20220429 17:09:46;60,75;5;0,41;2,05;5;0,67;3,35
2258;2258,165;37,6360833333;20220429 17:09:47;61;5;0,41;2,05;5;0,78;3,9
2259;2259,163;37,6527166667;20220429 17:09:48;61;5;0,41;2,05;5;0,73;3,65
2260;2260,162;37,6693666667;20220429 17:09:49;61,25;5;0,41;2,05;5;0,75;3,75
2261;2261,167;37,6861166667;20220429 17:09:50;61,25;5;0,41;2,05;5;0,8;4
2262;2262,161;37,7026833333;20220429 17:09:51;61,25;5;0,41;2,05;5;0,66;3,3
2263;2263,165;37,7194166667;20220429 17:09:52;61,25;5;0,41;2,05;5;0,76;3,8
2264;2264,168;37,7361333333;20220429 17:09:53;61,25;5;0,41;2,05;5;0,81;4,05
