"index";"seconds";"minutes";"dateTime";"cli_temp";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
0;0,429;0,00715;20220503 15:15:59;50,5;5;0,41;2,05;5;0,41;2,05
1;1,43;0,0238333333;20220503 15:16:00;50,75;5;0,41;2,05;5;0,41;2,05
2;2,43;0,0405;20220503 15:16:01;50,75;5;0,41;2,05;5;0,42;2,1
3;3,43;0,0571666667;20220503 15:16:02;50,75;5;0,41;2,05;5;0,41;2,05
4;4,43;0,0738333333;20220503 15:16:03;51;5;0,41;2,05;5;0,41;2,05
5;5,433;0,09055;20220503 15:16:04;50,75;5;0,41;2,05;5;0,41;2,05
6;6,43;0,1071666667;20220503 15:16:05;50,75;5;0,41;2,05;5;0,49;2,45
7;7,429;0,1238166667;20220503 15:16:06;50,5;5;0,41;2,05;5;0,41;2,05
8;8,43;0,1405;20220503 15:16:07;50,75;5;0,41;2,05;5;0,41;2,05
9;9,43;0,1571666667;20220503 15:16:08;51;5;0,41;2,05;5;0,41;2,05
10;10,432;0,1738666667;20220503 15:16:09;51;5;0,41;2,05;5;0,41;2,05
11;11,429;0,1904833333;20220503 15:16:10;50,75;5;0,41;2,05;5;0,41;2,05
12;12,431;0,2071833333;20220503 15:16:11;51;5;0,41;2,05;5;0,41;2,05
13;13,433;0,2238833333;20220503 15:16:12;51;5;0,41;2,05;5;0,41;2,05
14;14,429;0,2404833333;20220503 15:16:13;50,75;5;0,41;2,05;5;0,41;2,05
15;15,43;0,2571666667;20220503 15:16:14;50,75;5;0,41;2,05;5;0,41;2,05
16;16,43;0,2738333333;20220503 15:16:15;50,75;5;0,41;2,05;5;0,41;2,05
17;17,432;0,2905333333;20220503 15:16:16;50,5;5;0,41;2,05;5;0,41;2,05
18;18,433;0,3072166667;20220503 15:16:17;50,75;5;0,41;2,05;5;0,41;2,05
19;19,431;0,32385;20220503 15:16:18;50,5;5;0,41;2,05;5;0,41;2,05
20;20,429;0,3404833333;20220503 15:16:19;50,75;5;0,41;2,05;5;0,41;2,05
21;21,429;0,35715;20220503 15:16:20;50,75;5;0,41;2,05;5;0,41;2,05
22;22,43;0,3738333333;20220503 15:16:21;50,75;5;0,41;2,05;5;0,41;2,05
23;23,43;0,3905;20220503 15:16:22;50,5;5;0,41;2,05;5;0,41;2,05
24;24,43;0,4071666667;20220503 15:16:23;50,75;5;0,41;2,05;5;0,41;2,05
25;25,433;0,4238833333;20220503 15:16:24;50,5;5;0,41;2,05;5;0,41;2,05
26;26,43;0,4405;20220503 15:16:25;50,5;5;0,41;2,05;5;0,41;2,05
27;27,43;0,4571666667;20220503 15:16:26;50,5;5;0,41;2,05;5;0,41;2,05
28;28,429;0,4738166667;20220503 15:16:27;50,5;5;0,41;2,05;5;0,41;2,05
29;29,43;0,4905;20220503 15:16:28;50,5;5;0,41;2,05;5;0,41;2,05
30;30,43;0,5071666667;20220503 15:16:29;50,5;5;0,41;2,05;5;0,41;2,05
31;31,43;0,5238333333;20220503 15:16:30;50,25;5;0,41;2,05;5;0,41;2,05
32;32,433;0,54055;20220503 15:16:31;50,5;5;0,41;2,05;5;0,41;2,05
33;33,431;0,5571833333;20220503 15:16:32;50,75;5;0,41;2,05;5;0,41;2,05
34;34,429;0,5738166667;20220503 15:16:33;50,25;5;0,41;2,05;5;0,41;2,05
35;35,433;0,59055;20220503 15:16:34;50,5;5;0,41;2,05;5;0,41;2,05
36;36,43;0,6071666667;20220503 15:16:35;50,5;5;0,41;2,05;5;0,41;2,05
37;37,429;0,6238166667;20220503 15:16:36;50,5;5;0,41;2,05;5;0,41;2,05
38;38,434;0,6405666667;20220503 15:16:37;50,5;5;0,41;2,05;5;0,41;2,05
39;39,432;0,6572;20220503 15:16:38;50,5;5;0,41;2,05;5;0,41;2,05
40;40,429;0,6738166667;20220503 15:16:39;50,5;5;0,41;2,05;5;0,41;2,05
41;41,431;0,6905166667;20220503 15:16:40;50,25;5;0,41;2,05;5;0,41;2,05
42;42,43;0,7071666667;20220503 15:16:41;50,5;5;0,41;2,05;5;0,41;2,05
43;43,43;0,7238333333;20220503 15:16:42;50,5;5;0,41;2,05;5;0,41;2,05
44;44,431;0,7405166667;20220503 15:16:43;50,5;5;0,41;2,05;5;0,41;2,05
45;45,434;0,7572333333;20220503 15:16:44;50,5;5;0,41;2,05;5;0,41;2,05
46;46,432;0,7738666667;20220503 15:16:45;50,25;5;0,41;2,05;5;0,41;2,05
47;47,43;0,7905;20220503 15:16:46;50,25;5;0,41;2,05;5;0,41;2,05
48;48,43;0,8071666667;20220503 15:16:47;50,25;5;0,41;2,05;5;0,41;2,05
49;49,429;0,8238166667;20220503 15:16:48;50,25;5;0,41;2,05;5;0,41;2,05
50;50,433;0,84055;20220503 15:16:49;50,25;5;0,41;2,05;5;0,41;2,05
51;51,431;0,8571833333;20220503 15:16:50;50,25;5;0,41;2,05;5;0,41;2,05
52;52,433;0,8738833333;20220503 15:16:51;50,5;5;0,41;2,05;5;0,41;2,05
53;53,431;0,8905166667;20220503 15:16:52;50,5;5;0,41;2,05;5;0,41;2,05
54;54,432;0,9072;20220503 15:16:53;50,5;5;0,41;2,05;5;0,41;2,05
55;55,433;0,9238833333;20220503 15:16:54;50,5;5;0,41;2,05;5;0,41;2,05
56;56,429;0,9404833333;20220503 15:16:55;50,25;5;0,41;2,05;5;0,41;2,05
57;57,429;0,95715;20220503 15:16:56;50,5;5;0,41;2,05;5;0,41;2,05
58;58,43;0,9738333333;20220503 15:16:57;50,5;5;0,41;2,05;5;0,41;2,05
59;59,433;0,99055;20220503 15:16:58;50,5;5;0,41;2,05;5;0,41;2,05
60;60,431;1,0071833333;20220503 15:16:59;50,5;5;0,41;2,05;5;0,41;2,05
61;61,43;1,0238333333;20220503 15:17:00;50,25;5;0,41;2,05;5;0,41;2,05
62;62,429;1,0404833333;20220503 15:17:01;50,5;5;0,41;2,05;5;0,42;2,1
63;63,43;1,0571666667;20220503 15:17:02;50,25;5;0,41;2,05;5;0,41;2,05
64;64,432;1,0738666667;20220503 15:17:03;50,25;5;0,41;2,05;5;0,41;2,05
65;65,429;1,0904833333;20220503 15:17:04;50,25;5;0,41;2,05;5;0,41;2,05
66;66,431;1,1071833333;20220503 15:17:05;50,5;5;0,41;2,05;5;0,41;2,05
67;67,43;1,1238333333;20220503 15:17:06;50,5;5;0,41;2,05;5;0,41;2,05
68;68,429;1,1404833333;20220503 15:17:07;50,25;5;0,44;2,2;5;0,41;2,05
69;69,433;1,1572166667;20220503 15:17:08;50,5;5;0,47;2,35;5;0,41;2,05
70;70,43;1,1738333333;20220503 15:17:09;50,5;5;0,41;2,05;5;0,41;2,05
71;71,429;1,1904833333;20220503 15:17:10;50,5;5;0,41;2,05;5;0,41;2,05
72;72,43;1,2071666667;20220503 15:17:11;50,5;5;0,41;2,05;5;0,41;2,05
73;73,432;1,2238666667;20220503 15:17:12;50,5;5;0,41;2,05;5;0,41;2,05
74;74,429;1,2404833333;20220503 15:17:13;50,75;5;0,41;2,05;5;0,41;2,05
75;75,43;1,2571666667;20220503 15:17:14;50,5;5;0,41;2,05;5;0,41;2,05
76;76,43;1,2738333333;20220503 15:17:15;50,25;5;0,41;2,05;5;0,41;2,05
77;77,431;1,2905166667;20220503 15:17:16;50,25;5;0,41;2,05;5;0,41;2,05
78;78,429;1,30715;20220503 15:17:17;50,5;5;0,41;2,05;5;0,41;2,05
79;79,433;1,3238833333;20220503 15:17:18;50,25;5;0,41;2,05;5;0,41;2,05
80;80,431;1,3405166667;20220503 15:17:19;50,25;5;0,41;2,05;5;0,41;2,05
81;81,431;1,3571833333;20220503 15:17:20;50,5;5;0,41;2,05;5;0,41;2,05
82;82,434;1,3739;20220503 15:17:21;50,25;5;0,41;2,05;5;0,41;2,05
83;83,431;1,3905166667;20220503 15:17:22;50,5;5;0,41;2,05;5;0,41;2,05
84;84,431;1,4071833333;20220503 15:17:23;50,25;5;0,41;2,05;5;0,41;2,05
85;85,43;1,4238333333;20220503 15:17:24;50,25;5;0,41;2,05;5;0,41;2,05
86;86,433;1,44055;20220503 15:17:25;50,25;5;0,41;2,05;5;0,41;2,05
87;87,43;1,4571666667;20220503 15:17:26;50,25;5;0,41;2,05;5;0,41;2,05
88;88,429;1,4738166667;20220503 15:17:27;50,25;5;0,41;2,05;5;0,41;2,05
89;89,431;1,4905166667;20220503 15:17:28;50,25;5;0,41;2,05;5;0,41;2,05
90;90,43;1,5071666667;20220503 15:17:29;50,25;5;0,41;2,05;5;0,41;2,05
91;91,43;1,5238333333;20220503 15:17:30;50,25;5;0,41;2,05;5;0,41;2,05
92;92,429;1,5404833333;20220503 15:17:31;50,25;5;0,41;2,05;5;0,41;2,05
93;93,432;1,5572;20220503 15:17:32;50,25;5;0,41;2,05;5;0,41;2,05
94;94,43;1,5738333333;20220503 15:17:33;50,25;5;0,41;2,05;5;0,41;2,05
95;95,43;1,5905;20220503 15:17:34;50,25;5;0,41;2,05;5;0,41;2,05
96;96,431;1,6071833333;20220503 15:17:35;50,25;5;0,41;2,05;5;0,41;2,05
97;97,429;1,6238166667;20220503 15:17:36;50,25;5;0,41;2,05;5;0,41;2,05
98;98,429;1,6404833333;20220503 15:17:37;50,25;5;0,41;2,05;5;0,41;2,05
99;99,431;1,6571833333;20220503 15:17:38;50,25;5;0,41;2,05;5;0,41;2,05
100;100,431;1,67385;20220503 15:17:39;50,25;5;0,41;2,05;5;0,41;2,05
101;101,431;1,6905166667;20220503 15:17:40;50,25;5;0,41;2,05;5;0,41;2,05
102;102,43;1,7071666667;20220503 15:17:41;50,25;5;0,41;2,05;5;0,41;2,05
103;103,431;1,72385;20220503 15:17:42;50,5;5;0,41;2,05;5;0,41;2,05
104;104,429;1,7404833333;20220503 15:17:43;50,25;5;0,41;2,05;5;0,41;2,05
105;105,432;1,7572;20220503 15:17:44;50,25;5;0,41;2,05;5;0,41;2,05
106;106,433;1,7738833333;20220503 15:17:45;50,25;5;0,41;2,05;5;0,41;2,05
107;107,432;1,7905333333;20220503 15:17:46;50,25;5;0,41;2,05;5;0,41;2,05
108;108,43;1,8071666667;20220503 15:17:47;50,25;5;0,41;2,05;5;0,41;2,05
109;109,433;1,8238833333;20220503 15:17:48;50,25;5;0,41;2,05;5;0,41;2,05
110;110,429;1,8404833333;20220503 15:17:49;50,5;5;0,41;2,05;5;0,41;2,05
111;111,433;1,8572166667;20220503 15:17:50;50,5;5;0,41;2,05;5;0,41;2,05
112;112,43;1,8738333333;20220503 15:17:51;50,5;5;0,41;2,05;5;0,41;2,05
113;113,432;1,8905333333;20220503 15:17:52;50,5;5;0,41;2,05;5;0,41;2,05
114;114,431;1,9071833333;20220503 15:17:53;50,5;5;0,41;2,05;5;0,41;2,05
115;115,429;1,9238166667;20220503 15:17:54;50,5;5;0,41;2,05;5;0,41;2,05
116;116,431;1,9405166667;20220503 15:17:55;50,25;5;0,41;2,05;5;0,41;2,05
117;117,432;1,9572;20220503 15:17:56;50,25;5;0,41;2,05;5;0,41;2,05
118;118,432;1,9738666667;20220503 15:17:57;50,25;5;0,41;2,05;5;0,41;2,05
119;119,429;1,9904833333;20220503 15:17:58;50,25;5;0,41;2,05;5;0,41;2,05
120;120,433;2,0072166667;20220503 15:17:59;50,25;5;0,41;2,05;5;0,41;2,05
121;121,429;2,0238166667;20220503 15:18:00;50,25;5;0,41;2,05;5;0,41;2,05
122;122,43;2,0405;20220503 15:18:01;50,25;5;0,41;2,05;5;0,41;2,05
123;123,429;2,05715;20220503 15:18:02;50;5;0,41;2,05;5;0,41;2,05
124;124,43;2,0738333333;20220503 15:18:03;50,25;5;0,41;2,05;5;0,41;2,05
125;125,432;2,0905333333;20220503 15:18:04;50;5;0,41;2,05;5;0,41;2,05
126;126,43;2,1071666667;20220503 15:18:05;50;5;0,41;2,05;5;0,41;2,05
127;127,432;2,1238666667;20220503 15:18:06;50;5;0,41;2,05;5;0,41;2,05
128;128,432;2,1405333333;20220503 15:18:07;50;5;0,41;2,05;5;0,41;2,05
129;129,43;2,1571666667;20220503 15:18:08;50,25;5;0,41;2,05;5;0,41;2,05
130;130,43;2,1738333333;20220503 15:18:09;50,25;5;0,41;2,05;5;0,41;2,05
131;131,429;2,1904833333;20220503 15:18:10;50,25;5;0,41;2,05;5;0,41;2,05
132;132,432;2,2072;20220503 15:18:11;50,25;5;0,41;2,05;5;0,41;2,05
133;133,433;2,2238833333;20220503 15:18:12;50,25;5;0,41;2,05;5;0,41;2,05
134;134,433;2,24055;20220503 15:18:13;50,25;5;0,41;2,05;5;0,41;2,05
135;135,429;2,25715;20220503 15:18:14;50;5;0,41;2,05;5;0,41;2,05
136;136,431;2,27385;20220503 15:18:15;50,5;5;0,41;2,05;5;0,41;2,05
137;137,43;2,2905;20220503 15:18:16;50,25;5;0,41;2,05;5;0,41;2,05
138;138,43;2,3071666667;20220503 15:18:17;50,25;5;0,41;2,05;5;0,41;2,05
139;139,432;2,3238666667;20220503 15:18:18;50,25;5;0,41;2,05;5;0,41;2,05
140;140,432;2,3405333333;20220503 15:18:19;50,25;5;0,41;2,05;5;0,41;2,05
141;141,43;2,3571666667;20220503 15:18:20;50,25;5;0,41;2,05;5;0,41;2,05
142;142,43;2,3738333333;20220503 15:18:21;50,5;5;0,41;2,05;5;0,41;2,05
143;143,429;2,3904833333;20220503 15:18:22;50,25;5;0,41;2,05;5;0,41;2,05
144;144,43;2,4071666667;20220503 15:18:23;50,25;5;0,41;2,05;5;0,41;2,05
145;145,434;2,4239;20220503 15:18:24;50,25;5;0,41;2,05;5;0,41;2,05
146;146,429;2,4404833333;20220503 15:18:25;50,5;5;0,41;2,05;5;0,41;2,05
147;147,432;2,4572;20220503 15:18:26;50,25;5;0,41;2,05;5;0,41;2,05
148;148,43;2,4738333333;20220503 15:18:27;50,5;5;0,41;2,05;5;0,41;2,05
149;149,432;2,4905333333;20220503 15:18:28;50,25;5;0,41;2,05;5;0,41;2,05
150;150,433;2,5072166667;20220503 15:18:29;50,25;5;0,41;2,05;5;0,41;2,05
151;151,43;2,5238333333;20220503 15:18:30;50,25;5;0,41;2,05;5;0,41;2,05
152;152,43;2,5405;20220503 15:18:31;50,25;5;0,41;2,05;5;0,41;2,05
153;153,43;2,5571666667;20220503 15:18:32;50,25;5;0,41;2,05;5;0,41;2,05
154;154,432;2,5738666667;20220503 15:18:33;50,25;5;0,41;2,05;5;0,41;2,05
155;155,431;2,5905166667;20220503 15:18:34;50,25;5;0,41;2,05;5;0,41;2,05
156;156,43;2,6071666667;20220503 15:18:35;50,25;5;0,41;2,05;5;0,41;2,05
157;157,433;2,6238833333;20220503 15:18:36;50,25;5;0,41;2,05;5;0,41;2,05
158;158,431;2,6405166667;20220503 15:18:37;50,25;5;0,41;2,05;5;0,41;2,05
159;159,429;2,65715;20220503 15:18:38;50;5;0,41;2,05;5;0,41;2,05
160;160,433;2,6738833333;20220503 15:18:39;50,25;5;0,41;2,05;5;0,41;2,05
161;161,432;2,6905333333;20220503 15:18:40;50,25;5;0,41;2,05;5;0,41;2,05
162;162,429;2,70715;20220503 15:18:41;50,25;5;0,41;2,05;5;0,41;2,05
163;163,43;2,7238333333;20220503 15:18:42;50,25;5;0,41;2,05;5;0,41;2,05
164;164,429;2,7404833333;20220503 15:18:43;50,25;5;0,41;2,05;5;0,41;2,05
165;165,429;2,75715;20220503 15:18:44;50,25;5;0,41;2,05;5;0,41;2,05
166;166,43;2,7738333333;20220503 15:18:45;50,25;5;0,41;2,05;5;0,41;2,05
167;167,432;2,7905333333;20220503 15:18:46;50,25;5;0,41;2,05;5;0,41;2,05
168;168,433;2,8072166667;20220503 15:18:47;50,25;5;0,41;2,05;5;0,41;2,05
169;169,429;2,8238166667;20220503 15:18:48;50,25;5;0,41;2,05;5;0,41;2,05
170;170,43;2,8405;20220503 15:18:49;50,25;5;0,41;2,05;5;0,41;2,05
171;171,429;2,85715;20220503 15:18:50;50,25;5;0,41;2,05;5;0,41;2,05
172;172,433;2,8738833333;20220503 15:18:51;50,25;5;0,41;2,05;5;0,41;2,05
173;173,434;2,8905666667;20220503 15:18:52;50,25;5;0,41;2,05;5;0,41;2,05
174;174,432;2,9072;20220503 15:18:53;50,25;5;0,41;2,05;5;0,41;2,05
175;175,429;2,9238166667;20220503 15:18:54;50,25;5;0,41;2,05;5;0,41;2,05
176;176,429;2,9404833333;20220503 15:18:55;50,25;5;0,41;2,05;5;0,41;2,05
177;177,429;2,95715;20220503 15:18:56;50,25;5;0,41;2,05;5;0,41;2,05
178;178,43;2,9738333333;20220503 15:18:57;50;5;0,41;2,05;5;0,41;2,05
179;179,43;2,9905;20220503 15:18:58;50;5;0,41;2,05;5;0,41;2,05
180;180,429;3,00715;20220503 15:18:59;50;5;0,41;2,05;5;0,41;2,05
181;181,431;3,02385;20220503 15:19:00;50;5;0,41;2,05;5;0,41;2,05
182;182,432;3,0405333333;20220503 15:19:01;50;5;0,45;2,25;5;0,41;2,05
183;183,432;3,0572;20220503 15:19:02;50;5;0,41;2,05;5;0,41;2,05
184;184,429;3,0738166667;20220503 15:19:03;50,25;5;0,41;2,05;5;0,41;2,05
185;185,43;3,0905;20220503 15:19:04;50,25;5;0,41;2,05;5;0,41;2,05
186;186,434;3,1072333333;20220503 15:19:05;50;5;0,41;2,05;5;0,41;2,05
187;187,438;3,1239666667;20220503 15:19:06;50,25;5;0,41;2,05;5;0,41;2,05
188;188,431;3,1405166667;20220503 15:19:07;50;5;0,41;2,05;5;0,41;2,05
189;189,431;3,1571833333;20220503 15:19:08;50,25;5;0,41;2,05;5;0,41;2,05
190;190,43;3,1738333333;20220503 15:19:09;50,25;5;0,41;2,05;5;0,41;2,05
191;191,431;3,1905166667;20220503 15:19:10;50,25;5;0,41;2,05;5;0,41;2,05
192;192,432;3,2072;20220503 15:19:11;50;5;0,41;2,05;5;0,41;2,05
193;193,432;3,2238666667;20220503 15:19:12;50;5;0,41;2,05;5;0,41;2,05
194;194,434;3,2405666667;20220503 15:19:13;50;5;0,41;2,05;5;0,41;2,05
195;195,431;3,2571833333;20220503 15:19:14;50;5;0,41;2,05;5;0,41;2,05
196;196,429;3,2738166667;20220503 15:19:15;50;5;0,41;2,05;5;0,41;2,05
197;197,429;3,2904833333;20220503 15:19:16;50;5;0,41;2,05;5;0,41;2,05
198;198,43;3,3071666667;20220503 15:19:17;50;5;0,41;2,05;5;0,41;2,05
199;199,43;3,3238333333;20220503 15:19:18;50;5;0,41;2,05;5;0,41;2,05
200;200,43;3,3405;20220503 15:19:19;50;5;0,41;2,05;5;0,41;2,05
201;201,432;3,3572;20220503 15:19:20;50;5;0,41;2,05;5;0,41;2,05
202;202,431;3,37385;20220503 15:19:21;50;5;0,41;2,05;5;0,41;2,05
203;203,431;3,3905166667;20220503 15:19:22;50,25;5;0,41;2,05;5;0,41;2,05
204;204,429;3,40715;20220503 15:19:23;50,25;5;0,41;2,05;5;0,41;2,05
205;205,43;3,4238333333;20220503 15:19:24;50;5;0,41;2,05;5;0,41;2,05
206;206,429;3,4404833333;20220503 15:19:25;50;5;0,41;2,05;5;0,41;2,05
207;207,429;3,45715;20220503 15:19:26;49,75;5;0,41;2,05;5;0,41;2,05
208;208,432;3,4738666667;20220503 15:19:27;50;5;0,41;2,05;5;0,41;2,05
209;209,43;3,4905;20220503 15:19:28;50;5;0,41;2,05;5;0,41;2,05
210;210,43;3,5071666667;20220503 15:19:29;50;5;0,41;2,05;5;0,41;2,05
211;211,43;3,5238333333;20220503 15:19:30;49,75;5;0,41;2,05;5;0,41;2,05
212;212,429;3,5404833333;20220503 15:19:31;49,75;5;0,41;2,05;5;0,41;2,05
213;213,429;3,55715;20220503 15:19:32;49,75;5;0,41;2,05;5;0,41;2,05
214;214,432;3,5738666667;20220503 15:19:33;50;5;0,41;2,05;5;0,41;2,05
215;215,432;3,5905333333;20220503 15:19:34;50;5;0,41;2,05;5;0,41;2,05
216;216,432;3,6072;20220503 15:19:35;50;5;0,41;2,05;5;0,41;2,05
217;217,433;3,6238833333;20220503 15:19:36;50;5;0,41;2,05;5;0,41;2,05
218;218,43;3,6405;20220503 15:19:37;50;5;0,41;2,05;5;0,41;2,05
219;219,43;3,6571666667;20220503 15:19:38;50,25;5;0,41;2,05;5;0,41;2,05
220;220,43;3,6738333333;20220503 15:19:39;50;5;0,41;2,05;5;0,41;2,05
221;221,432;3,6905333333;20220503 15:19:40;50;5;0,41;2,05;5;0,41;2,05
222;222,432;3,7072;20220503 15:19:41;49,75;5;0,41;2,05;5;0,41;2,05
223;223,429;3,7238166667;20220503 15:19:42;49,75;5;0,41;2,05;5;0,41;2,05
224;224,429;3,7404833333;20220503 15:19:43;49,75;5;0,41;2,05;5;0,41;2,05
225;225,431;3,7571833333;20220503 15:19:44;49,75;5;0,41;2,05;5;0,41;2,05
226;226,433;3,7738833333;20220503 15:19:45;50;5;0,41;2,05;5;0,41;2,05
227;227,432;3,7905333333;20220503 15:19:46;50;5;0,41;2,05;5;0,41;2,05
228;228,433;3,8072166667;20220503 15:19:47;50;5;0,41;2,05;5;0,41;2,05
229;229,43;3,8238333333;20220503 15:19:48;50;5;0,41;2,05;5;0,41;2,05
230;230,431;3,8405166667;20220503 15:19:49;49,75;5;0,41;2,05;5;0,41;2,05
231;231,43;3,8571666667;20220503 15:19:50;49,75;5;0,41;2,05;5;0,41;2,05
232;232,43;3,8738333333;20220503 15:19:51;49,75;5;0,41;2,05;5;0,41;2,05
233;233,43;3,8905;20220503 15:19:52;49,75;5;0,41;2,05;5;0,41;2,05
234;234,43;3,9071666667;20220503 15:19:53;50;5;0,41;2,05;5;0,41;2,05
235;235,432;3,9238666667;20220503 15:19:54;49,75;5;0,41;2,05;5;0,41;2,05
236;236,429;3,9404833333;20220503 15:19:55;50;5;0,41;2,05;5;0,41;2,05
237;237,429;3,95715;20220503 15:19:56;49,75;5;0,41;2,05;5;0,41;2,05
238;238,43;3,9738333333;20220503 15:19:57;49,75;5;0,41;2,05;5;0,41;2,05
239;239,429;3,9904833333;20220503 15:19:58;49,75;5;0,41;2,05;5;0,41;2,05
240;240,433;4,0072166667;20220503 15:19:59;49,75;5;0,41;2,05;5;0,41;2,05
241;241,434;4,0239;20220503 15:20:00;49,75;5;0,41;2,05;5;0,41;2,05
242;242,431;4,0405166667;20220503 15:20:01;49,75;5;0,45;2,25;5;0,41;2,05
243;243,429;4,05715;20220503 15:20:02;49,75;5;0,41;2,05;5;0,41;2,05
244;244,43;4,0738333333;20220503 15:20:03;49,75;5;0,41;2,05;5;0,41;2,05
245;245,433;4,09055;20220503 15:20:04;49,75;5;0,41;2,05;5;0,41;2,05
246;246,429;4,10715;20220503 15:20:05;50;5;0,41;2,05;5;0,41;2,05
247;247,43;4,1238333333;20220503 15:20:06;50;5;0,41;2,05;5;0,41;2,05
248;248,433;4,14055;20220503 15:20:07;49,75;5;0,41;2,05;5;0,41;2,05
249;249,432;4,1572;20220503 15:20:08;49,75;5;0,41;2,05;5;0,41;2,05
250;250,429;4,1738166667;20220503 15:20:09;49,75;5;0,41;2,05;5;0,41;2,05
251;251,43;4,1905;20220503 15:20:10;50;5;0,41;2,05;5;0,41;2,05
252;252,429;4,20715;20220503 15:20:11;49,75;5;0,41;2,05;5;0,41;2,05
253;253,433;4,2238833333;20220503 15:20:12;50;5;0,41;2,05;5;0,41;2,05
254;254,43;4,2405;20220503 15:20:13;49,75;5;0,41;2,05;5;0,41;2,05
255;255,433;4,2572166667;20220503 15:20:14;49,75;5;0,41;2,05;5;0,41;2,05
256;256,431;4,27385;20220503 15:20:15;49,75;5;0,41;2,05;5;0,41;2,05
