"index";"seconds";"minutes";"dateTime";"cli_temp";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
0;0,642;0,0107;20220503 18:10:59;49,5;5;0,41;2,05;5;0,41;2,05
1;1,642;0,0273666667;20220503 18:11:00;49,25;5;0,41;2,05;5;0,41;2,05
2;2,643;0,04405;20220503 18:11:01;49,25;5;0,46;2,3;5;0,51;2,55
3;3,643;0,0607166667;20220503 18:11:02;49,25;5;0,41;2,05;5;0,49;2,45
4;4,642;0,0773666667;20220503 18:11:03;49,5;5;0,41;2,05;5;0,41;2,05
5;5,646;0,0941;20220503 18:11:04;49,75;5;0,41;2,05;5;0,41;2,05
6;6,644;0,1107333333;20220503 18:11:05;49,5;5;0,41;2,05;5;0,41;2,05
7;7,645;0,1274166667;20220503 18:11:06;49,5;5;0,41;2,05;5;0,41;2,05
8;8,643;0,14405;20220503 18:11:07;49,5;5;0,41;2,05;5;0,41;2,05
9;9,646;0,1607666667;20220503 18:11:08;49,5;5;0,41;2,05;5;0,41;2,05
10;10,643;0,1773833333;20220503 18:11:09;49,25;5;0,41;2,05;5;0,41;2,05
11;11,643;0,19405;20220503 18:11:10;49,25;5;0,41;2,05;5;0,41;2,05
12;12,643;0,2107166667;20220503 18:11:11;49,5;5;0,41;2,05;5;0,41;2,05
13;13,644;0,2274;20220503 18:11:12;49,5;5;0,41;2,05;5;0,41;2,05
14;14,645;0,2440833333;20220503 18:11:13;49,75;5;0,41;2,05;5;0,41;2,05
15;15,647;0,2607833333;20220503 18:11:14;49,5;5;0,41;2,05;5;0,41;2,05
16;16,645;0,2774166667;20220503 18:11:15;49,25;5;0,41;2,05;5;0,41;2,05
17;17,645;0,2940833333;20220503 18:11:16;49,25;5;0,41;2,05;5;0,41;2,05
18;18,644;0,3107333333;20220503 18:11:17;49,25;5;0,41;2,05;5;0,41;2,05
19;19,646;0,3274333333;20220503 18:11:18;49,25;5;0,41;2,05;5;0,41;2,05
20;20,645;0,3440833333;20220503 18:11:19;49,25;5;0,41;2,05;5;0,41;2,05
21;21,642;0,3607;20220503 18:11:20;49,5;5;0,41;2,05;5;0,41;2,05
22;22,643;0,3773833333;20220503 18:11:21;49,25;5;0,41;2,05;5;0,41;2,05
23;23,643;0,39405;20220503 18:11:22;49,5;5;0,41;2,05;5;0,41;2,05
24;24,645;0,41075;20220503 18:11:23;49,25;5;0,41;2,05;5;0,41;2,05
25;25,643;0,4273833333;20220503 18:11:24;49,5;5;0,41;2,05;5;0,41;2,05
26;26,645;0,4440833333;20220503 18:11:25;49,25;5;0,41;2,05;5;0,41;2,05
27;27,647;0,4607833333;20220503 18:11:26;49,25;5;0,41;2,05;5;0,41;2,05
28;28,648;0,4774666667;20220503 18:11:27;49,25;5;0,41;2,05;5;0,41;2,05
29;29,645;0,4940833333;20220503 18:11:28;49,25;5;0,41;2,05;5;0,41;2,05
30;30,645;0,51075;20220503 18:11:29;49,25;5;0,41;2,05;5;0,41;2,05
31;31,642;0,5273666667;20220503 18:11:30;49,25;5;0,41;2,05;5;0,41;2,05
32;32,643;0,54405;20220503 18:11:31;49,25;5;0,41;2,05;5;0,41;2,05
33;33,644;0,5607333333;20220503 18:11:32;49,25;5;0,41;2,05;5;0,41;2,05
34;34,642;0,5773666667;20220503 18:11:33;49,25;5;0,41;2,05;5;0,41;2,05
35;35,643;0,59405;20220503 18:11:34;49,25;5;0,41;2,05;5;0,41;2,05
36;36,646;0,6107666667;20220503 18:11:35;49,5;5;0,41;2,05;5;0,41;2,05
37;37,644;0,6274;20220503 18:11:36;49,5;5;0,41;2,05;5;0,41;2,05
38;38,647;0,6441166667;20220503 18:11:37;49,25;5;0,41;2,05;5;0,41;2,05
39;39,646;0,6607666667;20220503 18:11:38;49,25;5;0,41;2,05;5;0,41;2,05
40;40,644;0,6774;20220503 18:11:39;49,5;5;0,41;2,05;5;0,41;2,05
41;41,645;0,6940833333;20220503 18:11:40;49,5;5;0,41;2,05;5;0,41;2,05
42;42,642;0,7107;20220503 18:11:41;49,5;5;0,41;2,05;5;0,41;2,05
43;43,643;0,7273833333;20220503 18:11:42;49,25;5;0,41;2,05;5;0,41;2,05
44;44,644;0,7440666667;20220503 18:11:43;49,25;5;0,41;2,05;5;0,41;2,05
45;45,644;0,7607333333;20220503 18:11:44;49,25;5;0,41;2,05;5;0,41;2,05
46;46,646;0,7774333333;20220503 18:11:45;49;5;0,41;2,05;5;0,41;2,05
47;47,643;0,79405;20220503 18:11:46;49,25;5;0,41;2,05;5;0,41;2,05
48;48,645;0,81075;20220503 18:11:47;49;5;0,41;2,05;5;0,41;2,05
49;49,643;0,8273833333;20220503 18:11:48;49;5;0,41;2,05;5;0,41;2,05
50;50,647;0,8441166667;20220503 18:11:49;49;5;0,41;2,05;5;0,41;2,05
51;51,643;0,8607166667;20220503 18:11:50;49,25;5;0,41;2,05;5;0,41;2,05
52;52,642;0,8773666667;20220503 18:11:51;49;5;0,41;2,05;5;0,41;2,05
53;53,648;0,8941333333;20220503 18:11:52;49,25;5;0,41;2,05;5;0,41;2,05
54;54,643;0,9107166667;20220503 18:11:53;49;5;0,41;2,05;5;0,41;2,05
55;55,645;0,9274166667;20220503 18:11:54;49,25;5;0,41;2,05;5;0,41;2,05
56;56,642;0,9440333333;20220503 18:11:55;49,25;5;0,41;2,05;5;0,41;2,05
57;57,642;0,9607;20220503 18:11:56;49,25;5;0,41;2,05;5;0,41;2,05
58;58,642;0,9773666667;20220503 18:11:57;49,5;5;0,41;2,05;5;0,41;2,05
59;59,647;0,9941166667;20220503 18:11:58;49,25;5;0,41;2,05;5;0,41;2,05
60;60,645;1,01075;20220503 18:11:59;49,25;5;0,41;2,05;5;0,41;2,05
61;61,642;1,0273666667;20220503 18:12:00;49,25;5;0,41;2,05;5;0,41;2,05
62;62,642;1,0440333333;20220503 18:12:01;49,25;5;0,45;2,25;5;0,41;2,05
63;63,646;1,0607666667;20220503 18:12:02;49,25;5;0,41;2,05;5;0,41;2,05
64;64,642;1,0773666667;20220503 18:12:03;49,25;5;0,41;2,05;5;0,41;2,05
65;65,645;1,0940833333;20220503 18:12:04;49,5;5;0,41;2,05;5;0,41;2,05
66;66,645;1,11075;20220503 18:12:05;49,25;5;0,41;2,05;5;0,41;2,05
67;67,644;1,1274;20220503 18:12:06;49,25;5;0,41;2,05;5;0,41;2,05
68;68,642;1,1440333333;20220503 18:12:07;49,25;5;0,41;2,05;5;0,41;2,05
69;69,645;1,16075;20220503 18:12:08;49,25;5;0,41;2,05;5;0,41;2,05
70;70,643;1,1773833333;20220503 18:12:09;49,25;5;0,41;2,05;5;0,41;2,05
71;71,644;1,1940666667;20220503 18:12:10;49,25;5;0,41;2,05;5;0,41;2,05
72;72,642;1,2107;20220503 18:12:11;49,25;5;0,41;2,05;5;0,41;2,05
73;73,645;1,2274166667;20220503 18:12:12;49,5;5;0,41;2,05;5;0,41;2,05
74;74,647;1,2441166667;20220503 18:12:13;49,25;5;0,41;2,05;5;0,41;2,05
75;75,642;1,2607;20220503 18:12:14;49,25;5;0,41;2,05;5;0,41;2,05
76;76,643;1,2773833333;20220503 18:12:15;49,25;5;0,41;2,05;5;0,41;2,05
77;77,647;1,2941166667;20220503 18:12:16;49,25;5;0,41;2,05;5;0,41;2,05
78;78,642;1,3107;20220503 18:12:17;49,25;5;0,41;2,05;5;0,41;2,05
79;79,646;1,3274333333;20220503 18:12:18;49,5;5;0,41;2,05;5;0,41;2,05
80;80,646;1,3441;20220503 18:12:19;49,25;5;0,41;2,05;5;0,41;2,05
81;81,643;1,3607166667;20220503 18:12:20;49,25;5;0,41;2,05;5;0,41;2,05
82;82,647;1,37745;20220503 18:12:21;49,5;5;0,41;2,05;5;0,41;2,05
83;83,645;1,3940833333;20220503 18:12:22;49,5;5;0,41;2,05;5;0,41;2,05
84;84,647;1,4107833333;20220503 18:12:23;49,5;5;0,41;2,05;5;0,41;2,05
85;85,643;1,4273833333;20220503 18:12:24;49,5;5;0,41;2,05;5;0,41;2,05
86;86,645;1,4440833333;20220503 18:12:25;49,25;5;0,41;2,05;5;0,41;2,05
87;87,645;1,46075;20220503 18:12:26;49,25;5;0,41;2,05;5;0,41;2,05
88;88,642;1,4773666667;20220503 18:12:27;49,25;5;0,41;2,05;5;0,41;2,05
89;89,644;1,4940666667;20220503 18:12:28;49,5;5;0,41;2,05;5;0,41;2,05
90;90,646;1,5107666667;20220503 18:12:29;49,25;5;0,41;2,05;5;0,41;2,05
91;91,642;1,5273666667;20220503 18:12:30;49,25;5;0,41;2,05;5;0,41;2,05
92;92,647;1,5441166667;20220503 18:12:31;49,5;5;0,41;2,05;5;0,41;2,05
93;93,646;1,5607666667;20220503 18:12:32;49,25;5;0,41;2,05;5;0,41;2,05
94;94,644;1,5774;20220503 18:12:33;49,25;5;0,41;2,05;5;0,41;2,05
95;95,642;1,5940333333;20220503 18:12:34;49,25;5;0,41;2,05;5;0,41;2,05
96;96,643;1,6107166667;20220503 18:12:35;49,25;5;0,41;2,05;5;0,41;2,05
97;97,645;1,6274166667;20220503 18:12:36;49,5;5;0,41;2,05;5;0,41;2,05
98;98,642;1,6440333333;20220503 18:12:37;49,5;5;0,41;2,05;5;0,41;2,05
99;99,642;1,6607;20220503 18:12:38;49,5;5;0,41;2,05;5;0,41;2,05
100;100,646;1,6774333333;20220503 18:12:39;49,25;5;0,41;2,05;5;0,41;2,05
101;101,643;1,69405;20220503 18:12:40;49,25;5;0,41;2,05;5;0,41;2,05
102;102,642;1,7107;20220503 18:12:41;49,25;5;0,41;2,05;5;0,41;2,05
103;103,647;1,72745;20220503 18:12:42;49,25;5;0,41;2,05;5;0,41;2,05
104;104,645;1,7440833333;20220503 18:12:43;49,25;5;0,41;2,05;5;0,41;2,05
105;105,648;1,7608;20220503 18:12:44;49,25;5;0,41;2,05;5;0,41;2,05
106;106,647;1,77745;20220503 18:12:45;49,25;5;0,41;2,05;5;0,41;2,05
107;107,645;1,7940833333;20220503 18:12:46;49,25;5;0,41;2,05;5;0,41;2,05
108;108,643;1,8107166667;20220503 18:12:47;49,25;5;0,41;2,05;5;0,41;2,05
109;109,647;1,82745;20220503 18:12:48;49,5;5;0,41;2,05;5;0,41;2,05
110;110,642;1,8440333333;20220503 18:12:49;49,5;5;0,41;2,05;5;0,41;2,05
111;111,646;1,8607666667;20220503 18:12:50;49,5;5;0,41;2,05;5;0,41;2,05
112;112,643;1,8773833333;20220503 18:12:51;49,5;5;0,41;2,05;5;0,41;2,05
113;113,644;1,8940666667;20220503 18:12:52;49,5;5;0,41;2,05;5;0,41;2,05
114;114,644;1,9107333333;20220503 18:12:53;49,5;5;0,41;2,05;5;0,41;2,05
115;115,645;1,9274166667;20220503 18:12:54;49,25;5;0,41;2,05;5;0,41;2,05
116;116,647;1,9441166667;20220503 18:12:55;49,25;5;0,41;2,05;5;0,41;2,05
117;117,646;1,9607666667;20220503 18:12:56;49,25;5;0,41;2,05;5;0,41;2,05
118;118,645;1,9774166667;20220503 18:12:57;49,25;5;0,41;2,05;5;0,41;2,05
119;119,645;1,9940833333;20220503 18:12:58;49,25;5;0,41;2,05;5;0,41;2,05
120;120,647;2,0107833333;20220503 18:12:59;49,5;5;0,41;2,05;5;0,41;2,05
121;121,644;2,0274;20220503 18:13:00;49,5;5;0,41;2,05;5;0,41;2,05
122;122,645;2,0440833333;20220503 18:13:01;49,5;5;0,41;2,05;5;0,46;2,3
123;123,643;2,0607166667;20220503 18:13:02;49,5;5;0,41;2,05;5;0,41;2,05
124;124,644;2,0774;20220503 18:13:03;49,5;5;0,41;2,05;5;0,41;2,05
125;125,647;2,0941166667;20220503 18:13:04;49,25;5;0,41;2,05;5;0,41;2,05
126;126,647;2,1107833333;20220503 18:13:05;49,25;5;0,41;2,05;5;0,41;2,05
127;127,646;2,1274333333;20220503 18:13:06;49,5;5;0,41;2,05;5;0,41;2,05
128;128,643;2,14405;20220503 18:13:07;49,5;5;0,41;2,05;5;0,41;2,05
129;129,642;2,1607;20220503 18:13:08;49,5;5;0,41;2,05;5;0,41;2,05
130;130,642;2,1773666667;20220503 18:13:09;49,25;5;0,41;2,05;5;0,41;2,05
131;131,644;2,1940666667;20220503 18:13:10;49,25;5;0,41;2,05;5;0,41;2,05
132;132,642;2,2107;20220503 18:13:11;49,5;5;0,41;2,05;5;0,41;2,05
133;133,642;2,2273666667;20220503 18:13:12;49,25;5;0,41;2,05;5;0,41;2,05
134;134,645;2,2440833333;20220503 18:13:13;49,25;5;0,41;2,05;5;0,41;2,05
135;135,643;2,2607166667;20220503 18:13:14;49,25;5;0,41;2,05;5;0,41;2,05
136;136,646;2,2774333333;20220503 18:13:15;49,25;5;0,41;2,05;5;0,41;2,05
137;137,646;2,2941;20220503 18:13:16;49,25;5;0,41;2,05;5;0,41;2,05
