"index";"seconds";"minutes";"dateTime";"cli_temp";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
445;445,79;7,4298333333;20220503 18:47:24;49,25;5;0,41;2,05;5;0,63;3,15
446;446,792;7,4465333333;20220503 18:47:25;49,25;5;0,5;2,5;5;0,49;2,45
447;447,796;7,4632666667;20220503 18:47:26;49,5;5;0,63;3,15;5;0,72;3,6
448;448,798;7,4799666667;20220503 18:47:27;50,5;5;0,49;2,45;5;0,65;3,25
449;449,794;7,4965666667;20220503 18:47:28;50,75;5;0,41;2,05;5;0,8;4
450;450,793;7,5132166667;20220503 18:47:29;51,5;5;0,41;2,05;5;0,77;3,85
451;451,798;7,5299666667;20220503 18:47:30;52,25;5;0,57;2,85;5;0,7;3,5
452;452,792;7,5465333333;20220503 18:47:31;52,75;5;0,5;2,5;5;0,71;3,55
453;453,797;7,5632833333;20220503 18:47:32;52,75;5;0,44;2,2;5;0,64;3,2
454;454,79;7,5798333333;20220503 18:47:33;53;5;0,49;2,45;5;0,88;4,4
455;455,79;7,5965;20220503 18:47:34;53;5;0,47;2,35;5;0,84;4,2
456;456,79;7,6131666667;20220503 18:47:35;53,5;5;0,41;2,05;5;0,66;3,3
457;457,793;7,6298833333;20220503 18:47:36;54;5;0,41;2,05;5;0,41;2,05
458;458,789;7,6464833333;20220503 18:47:37;54,25;5;0,41;2,05;5;0,79;3,95
459;459,795;7,66325;20220503 18:47:38;53,5;5;0,45;2,25;5;0,76;3,8
460;460,792;7,6798666667;20220503 18:47:39;54;5;0,41;2,05;5;0,44;2,2
461;461,798;7,6966333333;20220503 18:47:40;53,75;5;0,41;2,05;5;0,41;2,05
462;462,792;7,7132;20220503 18:47:41;53,25;5;0,41;2,05;5;0,77;3,85
463;463,79;7,7298333333;20220503 18:47:42;53,25;5;0,41;2,05;5;0,83;4,15
464;464,789;7,7464833333;20220503 18:47:43;53,75;5;0,41;2,05;5;0,49;2,45
465;465,797;7,7632833333;20220503 18:47:44;53,75;5;0,41;2,05;5;0,49;2,45
466;466,795;7,7799166667;20220503 18:47:45;53,25;5;0,41;2,05;5;0,75;3,75
467;467,792;7,7965333333;20220503 18:47:46;53,5;5;0,41;2,05;5;0,82;4,1
468;468,79;7,8131666667;20220503 18:47:47;54;5;0,41;2,05;5;0,43;2,15
469;469,79;7,8298333333;20220503 18:47:48;54,75;5;0,41;2,05;5;0,41;2,05
470;470,791;7,8465166667;20220503 18:47:49;53,75;5;0,41;2,05;5;0,66;3,3
471;471,798;7,8633;20220503 18:47:50;54;5;0,41;2,05;5;0,8;4
472;472,789;7,8798166667;20220503 18:47:51;54,5;5;0,41;2,05;5;0,53;2,65
473;473,795;7,8965833333;20220503 18:47:52;55;5;0,41;2,05;5;0,41;2,05
474;474,791;7,9131833333;20220503 18:47:53;54,75;5;0,41;2,05;5;0,81;4,05
475;475,797;7,92995;20220503 18:47:54;54,5;5;0,41;2,05;5;0,79;3,95
476;476,798;7,9466333333;20220503 18:47:55;55;5;0,41;2,05;5;0,49;2,45
477;477,795;7,96325;20220503 18:47:56;55,5;5;0,41;2,05;5;0,81;4,05
478;478,798;7,9799666667;20220503 18:47:57;55,25;5;0,41;2,05;5;0,81;4,05
479;479,791;7,9965166667;20220503 18:47:58;55;5;0,41;2,05;5;0,68;3,4
480;480,799;8,0133166667;20220503 18:47:59;55,5;5;0,41;2,05;5;0,66;3,3
481;481,789;8,0298166667;20220503 18:48:00;56;5;0,45;2,25;5;0,5;2,5
482;482,792;8,0465333333;20220503 18:48:01;56;5;0,41;2,05;5;0,57;2,85
483;483,79;8,0631666667;20220503 18:48:02;55,75;5;0,41;2,05;5;0,8;4
484;484,795;8,0799166667;20220503 18:48:03;55,5;5;0,41;2,05;5;0,79;3,95
485;485,789;8,0964833333;20220503 18:48:04;56,25;5;0,41;2,05;5;0,67;3,35
486;486,791;8,1131833333;20220503 18:48:05;56,5;5;0,49;2,45;5;0,66;3,3
487;487,792;8,1298666667;20220503 18:48:06;56,75;5;0,49;2,45;5;0,52;2,6
