"index";"seconds";"minutes";"dateTime";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
2232;2232,302;37,2050333333;20220426 14:48:23;5;0,4;2;5;0,74;3,7
2233;2233,3;37,2216666667;20220426 14:48:24;5;0,41;2,05;5;0,64;3,2
2234;2234,301;37,23835;20220426 14:48:25;5;0,41;2,05;5;0,73;3,65
2235;2235,301;37,2550166667;20220426 14:48:26;5;0,4;2;5;0,78;3,9
2236;2236,301;37,2716833333;20220426 14:48:27;5;0,41;2,05;5;0,69;3,45
2237;2237,299;37,2883166667;20220426 14:48:28;5;0,4;2;5;0,74;3,7
2238;2238,299;37,3049833333;20220426 14:48:29;5;0,41;2,05;5;0,78;3,9
2239;2239,302;37,3217;20220426 14:48:30;5;0,41;2,05;5;0,79;3,95
2240;2240,3;37,3383333333;20220426 14:48:31;5;0,4;2;5;0,78;3,9
2241;2241,301;37,3550166667;20220426 14:48:32;5;0,45;2,25;5;0,83;4,15
2242;2242,302;37,3717;20220426 14:48:33;5;0,41;2,05;5;0,78;3,9
2243;2243,302;37,3883666667;20220426 14:48:34;5;0,4;2;5;0,63;3,15
2244;2244,302;37,4050333333;20220426 14:48:35;5;0,42;2,1;5;0,76;3,8
2245;2245,298;37,4216333333;20220426 14:48:36;5;0,4;2;5;0,83;4,15
2246;2246,302;37,4383666667;20220426 14:48:37;5;0,41;2,05;5;0,81;4,05
2247;2247,3;37,455;20220426 14:48:38;5;0,4;2;5;0,78;3,9
2248;2248,302;37,4717;20220426 14:48:39;5;0,43;2,15;5;0,74;3,7
2249;2249,299;37,4883166667;20220426 14:48:40;5;0,41;2,05;5;0,77;3,85
2250;2250,302;37,5050333333;20220426 14:48:41;5;0,42;2,1;5;0,77;3,85
2251;2251,302;37,5217;20220426 14:48:42;5;0,41;2,05;5;0,79;3,95
2252;2252,3;37,5383333333;20220426 14:48:43;5;0,46;2,3;5;0,83;4,15
2253;2253,302;37,5550333333;20220426 14:48:44;5;0,4;2;5;0,77;3,85
2254;2254,3;37,5716666667;20220426 14:48:45;5;0,41;2,05;5;0,73;3,65
2255;2255,302;37,5883666667;20220426 14:48:46;5;0,42;2,1;5;0,79;3,95
2256;2256,3;37,605;20220426 14:48:47;5;0,4;2;5;0,73;3,65
2257;2257,301;37,6216833333;20220426 14:48:48;5;0,41;2,05;5;0,84;4,2
2258;2258,303;37,6383833333;20220426 14:48:49;5;0,41;2,05;5;0,68;3,4
2259;2259,298;37,6549666667;20220426 14:48:50;5;0,41;2,05;5;0,79;3,95
2260;2260,302;37,6717;20220426 14:48:51;5;0,41;2,05;5;0,66;3,3
2261;2261,3;37,6883333333;20220426 14:48:52;5;0,4;2;5;0,82;4,1
2262;2262,3;37,705;20220426 14:48:53;5;0,4;2;5;0,65;3,25
2263;2263,299;37,72165;20220426 14:48:54;5;0,41;2,05;5;0,81;4,05
2264;2264,303;37,7383833333;20220426 14:48:55;5;0,41;2,05;5;0,64;3,2
2265;2265,301;37,7550166667;20220426 14:48:56;5;0,41;2,05;5;0,77;3,85
2266;2266,299;37,77165;20220426 14:48:57;5;0,4;2;5;0,67;3,35
2267;2267,302;37,7883666667;20220426 14:48:58;5;0,41;2,05;5;0,63;3,15
2268;2268,302;37,8050333333;20220426 14:48:59;5;0,41;2,05;5;0,75;3,75
2269;2269,3;37,8216666667;20220426 14:49:00;5;0,4;2;5;0,64;3,2
2270;2270,299;37,8383166667;20220426 14:49:01;5;0,46;2,3;5;0,88;4,4
2271;2271,301;37,8550166667;20220426 14:49:02;5;0,41;2,05;5;0,8;4
2272;2272,299;37,87165;20220426 14:49:03;5;0,41;2,05;5;0,51;2,55
2273;2273,299;37,8883166667;20220426 14:49:04;5;0,41;2,05;5;0,51;2,55
2274;2274,302;37,9050333333;20220426 14:49:05;5;0,41;2,05;5;0,44;2,2
2275;2275,3;37,9216666667;20220426 14:49:06;5;0,41;2,05;5;0,67;3,35
2276;2276,302;37,9383666667;20220426 14:49:07;5;0,4;2;5;0,52;2,6
2277;2277,301;37,9550166667;20220426 14:49:08;5;0,41;2,05;5;0,65;3,25
2278;2278,301;37,9716833333;20220426 14:49:09;5;0,45;2,25;5;0,5;2,5
2279;2279,302;37,9883666667;20220426 14:49:10;5;0,41;2,05;5;0,72;3,6
2280;2280,299;38,0049833333;20220426 14:49:11;5;0,41;2,05;5;0,43;2,15
2281;2281,302;38,0217;20220426 14:49:12;5;0,41;2,05;5;0,55;2,75
2282;2282,301;38,03835;20220426 14:49:13;5;0,41;2,05;5;0,65;3,25
2283;2283,3;38,055;20220426 14:49:14;5;0,4;2;5;0,47;2,35
2284;2284,298;38,0716333333;20220426 14:49:15;5;0,4;2;5;0,69;3,45
2285;2285,301;38,08835;20220426 14:49:16;5;0,4;2;5;0,42;2,1
2286;2286,299;38,1049833333;20220426 14:49:17;5;0,53;2,65;5;0,79;3,95
2287;2287,302;38,1217;20220426 14:49:18;5;0,64;3,2;5;0,57;2,85
2288;2288,3;38,1383333333;20220426 14:49:19;5;0,41;2,05;5;0,65;3,25
2289;2289,301;38,1550166667;20220426 14:49:20;5;0,41;2,05;5;0,47;2,35
