"index";"seconds";"minutes";"dateTime";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
1883;1883,301;31,38835;20220426 14:42:34;5;0,4;2;5;0,58;2,9
1884;1884,301;31,4050166667;20220426 14:42:35;5;0,63;3,15;5;0,51;2,55
1885;1885,299;31,42165;20220426 14:42:36;5;0,63;3,15;5;0,64;3,2
1886;1886,302;31,4383666667;20220426 14:42:37;5;0,4;2;5;0,65;3,25
1887;1887,301;31,4550166667;20220426 14:42:38;5;0,41;2,05;5;0,63;3,15
1888;1888,301;31,4716833333;20220426 14:42:39;5;0,53;2,65;5;0,49;2,45
1889;1889,298;31,4883;20220426 14:42:40;5;0,44;2,2;5;0,58;2,9
1890;1890,3;31,505;20220426 14:42:41;5;0,63;2,45;5;0,46;2,3
1891;1891,3;31,5216666667;20220426 14:42:42;5;0,46;2,3;5;0,76;3,8
1892;1892,3;31,5383333333;20220426 14:42:43;5;0,47;2,35;5;0,74;3,7
1893;1893,301;31,5550166667;20220426 14:42:44;5;0,43;2,15;5;0,76;3,8
1894;1894,299;31,57165;20220426 14:42:45;5;0,41;2,05;5;0,68;3,4
1895;1895,301;31,58835;20220426 14:42:46;5;0,63;3,15;5;0,44;2,2
1896;1896,302;31,6050333333;20220426 14:42:47;5;0,49;2,45;5;0,67;3,35
1897;1897,302;31,6217;20220426 14:42:48;5;0,63;3,15;5;0,49;2,45
1898;1898,3;31,6383333333;20220426 14:42:49;5;0,49;2,45;5;0,71;3,55
1899;1899,299;31,6549833333;20220426 14:42:50;5;0,63;3,15;5;0,49;2,45
1900;1900,301;31,6716833333;20220426 14:42:51;5;0,49;2,45;5;0,58;2,9
1901;1901,3;31,6883333333;20220426 14:42:52;5;0,49;2,45;5;0,49;2,45
1902;1902,3;31,705;20220426 14:42:53;5;0,46;2,3;5;0,79;3,95
1903;1903,302;31,7217;20220426 14:42:54;5;0,41;2,05;5;0,75;3,75
1904;1904,301;31,73835;20220426 14:42:55;5;0,44;2,2;5;0,88;4,4
1905;1905,301;31,7550166667;20220426 14:42:56;5;0,46;2,3;5;0,81;4,05
1906;1906,3;31,7716666667;20220426 14:42:57;5;0,41;2,05;5;0,62;3,1
1907;1907,301;31,78835;20220426 14:42:58;5;0,46;2,3;5;0,68;3,4
1908;1908,302;31,8050333333;20220426 14:42:59;5;0,45;2,25;5;0,8;4
1909;1909,3;31,8216666667;20220426 14:43:00;5;0,41;2,05;5;0,81;4,05
1910;1910,302;31,8383666667;20220426 14:43:01;5;0,45;2,25;5;0,64;3,2
1911;1911,301;31,8550166667;20220426 14:43:02;5;0,45;2,25;5;0,74;3,7
1912;1912,299;31,87165;20220426 14:43:03;5;0,41;2,05;5;0,78;3,9
1913;1913,298;31,8883;20220426 14:43:04;5;0,45;2,25;5;0,66;3,3
1914;1914,301;31,9050166667;20220426 14:43:05;5;0,41;2,05;5;0,71;3,55
1915;1915,3;31,9216666667;20220426 14:43:06;5;0,41;2,05;5;0,79;3,95
1916;1916,299;31,9383166667;20220426 14:43:07;5;0,41;2,05;5;0,79;3,95
1917;1917,302;31,9550333333;20220426 14:43:08;5;0,41;2,05;5;0,79;3,95
1918;1918,308;31,9718;20220426 14:43:09;5;0,42;2,1;5;0,8;4
