"index";"seconds";"minutes";"dateTime";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
79;79,302;1,3217;20220426 14:12:30;5;0,4;2;5;0,4;2
80;80,299;1,3383166667;20220426 14:12:31;5;0,4;2;5;0,4;2
81;81,302;1,3550333333;20220426 14:12:32;5;0,4;2;5;0,4;2
82;82,301;1,3716833333;20220426 14:12:33;5;0,41;2,05;5;0,4;2
83;83,302;1,3883666667;20220426 14:12:34;5;0,4;2;5;0,4;2
84;84,302;1,4050333333;20220426 14:12:35;5;0,4;2;5;0,4;2
85;85,302;1,4217;20220426 14:12:36;5;0,4;2;5;0,4;2
86;86,301;1,43835;20220426 14:12:37;5;0,4;2;5;0,4;2
87;87,302;1,4550333333;20220426 14:12:38;5;0,4;2;5;0,4;2
88;88,302;1,4717;20220426 14:12:39;5;0,4;2;5;0,4;2
89;89,301;1,48835;20220426 14:12:40;5;0,4;2;5;0,4;2
90;90,302;1,5050333333;20220426 14:12:41;5;0,4;2;5;0,4;2
91;91,302;1,5217;20220426 14:12:42;5;0,41;2,05;5;0,4;2
92;92,302;1,5383666667;20220426 14:12:43;5;0,4;2;5;0,4;2
93;93,302;1,5550333333;20220426 14:12:44;5;0,41;2,05;5;0,4;2
94;94,302;1,5717;20220426 14:12:45;5;0,4;2;5;0,4;2
95;95,301;1,58835;20220426 14:12:46;5;0,41;2,05;5;0,4;2
96;96,302;1,6050333333;20220426 14:12:47;5;0,41;2,05;5;0,4;2
97;97,302;1,6217;20220426 14:12:48;5;0,4;2;5;0,4;2
98;98,302;1,6383666667;20220426 14:12:49;5;0,4;2;5;0,4;2
99;99,302;1,6550333333;20220426 14:12:50;5;0,4;2;5;0,4;2
100;100,302;1,6717;20220426 14:12:51;5;0,4;2;5;0,4;2
101;101,301;1,68835;20220426 14:12:52;5;0,4;2;5;0,4;2
102;102,302;1,7050333333;20220426 14:12:53;5;0,4;2;5;0,4;2
103;103,302;1,7217;20220426 14:12:54;5;0,4;2;5;0,4;2
104;104,302;1,7383666667;20220426 14:12:55;5;0,4;2;5;0,4;2
105;105,301;1,7550166667;20220426 14:12:56;5;0,4;2;5;0,4;2
106;106,301;1,7716833333;20220426 14:12:57;5;0,4;2;5;0,4;2
107;107,301;1,78835;20220426 14:12:58;5;0,4;2;5;0,4;2
108;108,302;1,8050333333;20220426 14:12:59;5;0,4;2;5;0,4;2
109;109,301;1,8216833333;20220426 14:13:00;5;0,4;2;5;0,4;2
110;110,303;1,8383833333;20220426 14:13:01;5;0,42;2,1;5;0,45;2,25
111;111,302;1,8550333333;20220426 14:13:02;5;0,4;2;5;0,4;2
112;112,301;1,8716833333;20220426 14:13:03;5;0,4;2;5;0,4;2
113;113,302;1,8883666667;20220426 14:13:04;5;0,4;2;5;0,4;2
114;114,301;1,9050166667;20220426 14:13:05;5;0,4;2;5;0,4;2
115;115,301;1,9216833333;20220426 14:13:06;5;0,4;2;5;0,4;2
116;116,3;1,9383333333;20220426 14:13:07;5;0,4;2;5;0,4;2
117;117,301;1,9550166667;20220426 14:13:08;5;0,4;2;5;0,4;2
118;118,302;1,9717;20220426 14:13:09;5;0,41;2,05;5;0,4;2
119;119,301;1,98835;20220426 14:13:10;5;0,4;2;5;0,4;2
120;120,3;2,005;20220426 14:13:11;5;0,41;2,05;5;0,4;2
121;121,302;2,0217;20220426 14:13:12;5;0,4;2;5;0,4;2
122;122,301;2,03835;20220426 14:13:13;5;0,4;2;5;0,4;2
123;123,302;2,0550333333;20220426 14:13:14;5;0,41;2,05;5;0,4;2
124;124,301;2,0716833333;20220426 14:13:15;5;0,4;2;5;0,4;2
125;125,301;2,08835;20220426 14:13:16;5;0,4;2;5;0,4;2
126;126,302;2,1050333333;20220426 14:13:17;5;0,4;2;5;0,4;2
127;127,301;2,1216833333;20220426 14:13:18;5;0,41;2,05;5;0,4;2
128;128,3;2,1383333333;20220426 14:13:19;5;0,4;2;5;0,4;2
129;129,301;2,1550166667;20220426 14:13:20;5;0,4;2;5;0,4;2
130;130,301;2,1716833333;20220426 14:13:21;5;0,4;2;5;0,4;2
